Transaction number,Vendor ,Category,Amount
5201143542,CHELSEA & WESTMINSTER HOSPITAL NHS,Public Health,"£40,927.00"
5201143543,CHELSEA & WESTMINSTER HOSPITAL NHS,Public Health,"£40,587.00"
5201144686,RM EDUCATION LTD,IT and Telecoms,"£40,029.99"
5201144684,RM EDUCATION LTD,IT and Telecoms,"£40,029.99"
5201141794,RINGWAY JACOBS LIMITED,Public Realm,"£39,989.11"
5201144685,RM EDUCATION LTD,IT and Telecoms,"£39,579.97"
5201143712,VICTIM SUPPORT,Children and Education,"£39,500.00"
5201141800,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£38,613.11"
1900806673,RIDGE AND PARTNERS LLP,"Construction, Property and Fac Man","£38,179.16"
5201143764,FAMILY ACTION,Children and Education,"£37,432.00"
200345501,FAMILY MOSAIC,Social care,"£35,722.02"
5201141837,B & L COACHES,Transport & Travel,"£35,708.43"
5201144771,RINGWAY JACOBS LIMITED,Public Realm,"£35,677.78"
5201141807,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£35,000.00"
5201144774,RINGWAY JACOBS LIMITED,Public Realm,"£34,936.38"
5201141775,IMPERIAL COLLEGE HEALTHCARE NHS TRU,Public Health,"£34,219.00"
1900806595,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£34,064.44"
1900806616,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£34,003.10"
1900806226,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£33,999.95"
1900806596,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£33,608.19"
1900806229,HARINGEY ADVISORY GRP ON ALCOHOL,Social care,"£33,465.00"
5201144778,RINGWAY JACOBS LIMITED,Public Realm,"£33,208.20"
200345511,ST MUNGOS HOUSING ASSOCIATION,Social care,"£33,020.76"
5201141789,"EAST ARCHIT, LANDSCAPE, URBAN DSGN",People and Recruitment,"£32,640.00"
200345513,ST MUNGOS HOUSING ASSOCIATION,Social care,"£31,902.90"
5201143706,TOTTENHAM HOTSPUR FOUNDATION,Learning and Development,"£31,500.00"
5201144385,IRG ADVISORS LLP,People and Recruitment,"£30,750.00"
1900806105,PLEXUS CLIENT ACCOUNT,Finance,"£30,000.00"
5201143420,TOTTENHAM HOTSPUR FOUNDATION,Learning and Development,"£30,000.00"
1900806032,PLEXUS CLIENT ACCOUNT,Finance,"£30,000.00"
5201141909,HARINGEY ASSOC OF VOL & COMMUNITY O,Children and Education,"£29,865.52"
5201144770,RINGWAY JACOBS LIMITED,Public Realm,"£29,750.00"
1900806107,WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£29,569.00"
5201141906,HARINGEY LAW CENTRE,Children and Education,"£29,475.00"
5201143683,PENNA PLC,People and Recruitment,"£29,461.32"
1900806571,WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£28,712.87"
1900806450,NORTHGATE INFORMATION SOLUTIONS UK,IT and Telecoms,"£27,643.28"
1900806228,HARINGEY ADVISORY GRP ON ALCOHOL,Social care,"£27,600.00"
5201143865,CIVICA UK LTD,People and Recruitment,"£27,390.17"
5201144842,BRITISH TELECOMMUNICATIONS PLC,"Construction, Property and Fac Man","£27,065.42"
5201141801,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£26,141.77"
5201143727,NCSCT COMMUNITY INTEREST COMPANY,Public Health,"£25,770.00"
5201142188,LOGICALIS UK LTD,IT and Telecoms,"£25,081.16"
5201144779,RINGWAY JACOBS LIMITED,Public Realm,"£25,047.25"
1900806117,NAS SERVICES LTD,General,"£24,800.69"
1900805696,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£24,788.02"
5201141949,RINGWAY JACOBS LIMITED,Public Realm,"£24,629.10"
1900806224,ORANGE PCS LTD,IT and Telecoms,"£24,525.79"
5201144130,PENNA PLC,People and Recruitment,"£24,294.28"
5201143861,CIVICA UK LTD,People and Recruitment,"£24,293.23"
8001874501,TRELOAR COLLEGE,Children and Education,"£24,227.91"
1900805091,DENTONS UKMEA LLP,Legal,"£23,380.70"
1900805449,THE MARKFIELD PROJECT LTD,General,"£23,176.30"
8001880889,REDACTED PERSONAL DATA,Temporary Accommodation,"£23,176.20"
1900806106,PLEXUS CLIENT ACCOUNT,Finance,"£22,500.00"
5201144832,"EAST ARCHIT, LANDSCAPE, URBAN DSGN",People and Recruitment,"£22,400.00"
5201141793,RINGWAY JACOBS LIMITED,Public Realm,"£22,029.47"
5201144769,RINGWAY JACOBS LIMITED,Public Realm,"£22,000.00"
1900806227,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£21,807.55"
5201141795,RINGWAY JACOBS LIMITED,Public Realm,"£21,476.41"
8001885387,YOUNG OPTIONS COLLEGE LTD,Temporary Accommodation,"£21,407.14"
1900806564,ISLINGTON COUNCIL,People and Recruitment,"£21,255.97"
5201144847,ECD ARCHITECTS LTD,"Construction, Property and Fac Man","£21,230.00"
8001885392,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£21,214.29"
1900805861,DENTONS UKMEA LLP,Legal,"£20,886.32"
5201141263,ALZHEIMERS SOCIETY,Social care,"£20,777.13"
1900806119,NAS SERVICES LTD,General,"£20,739.56"
5201143419,INNOVISION HEALTH & WELLBEING CIC,Public Health,"£20,716.54"
8001876849,GCH PEREGRINE HOUSE LTD,Social care,"£20,714.29"
5201144834,RINGWAY JACOBS LIMITED,People and Recruitment,"£20,705.73"
200345465,ONE HOUSING GROUP LTD,Social care,"£20,378.55"
5201144772,RINGWAY JACOBS LIMITED,Public Realm,"£20,277.78"
5201144368,TIMBERPLAY LIMITED,Public Realm,"£20,251.37"
5201141823,EXPRESSWAYS LTD,Transport & Travel,"£20,134.76"
1900806042,CITIBANK NA LONDON,Social care,"£20,000.00"
1900806223,FP TELESET,General,"£20,000.00"
1900806030,STEP BY STEP,Children and Education,"£20,000.00"
1900806118,NAS SERVICES LTD,General,"£19,959.23"
5201143652,CHESTNUT PRODUCTS LTD,"Construction, Property and Fac Man","£19,950.00"
5201144775,RINGWAY JACOBS LIMITED,Public Realm,"£19,947.86"
1900806102,HILLCREST AUTISM SERVICES LTD,General,"£19,803.33"
8001868401,NORWOOD SCHOOLS LTD,Social care,"£19,800.00"
1900805846,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£19,763.90"
1900806472,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£19,681.00"
5201144312,ECD ARCHITECTS LTD,"Construction, Property and Fac Man","£19,429.03"
1900805830,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£19,402.93"
8001885378,TACT,Children and Education,"£19,392.00"
5201142183,CGI IT UK LIMITED,IT and Telecoms,"£19,337.93"
5201144776,RINGWAY JACOBS LIMITED,Public Realm,"£19,262.48"
1900806412,HOMES FOR HARINGEY LIMITED,General,"£19,248.00"
5201144836,RINGWAY JACOBS LIMITED,Public Realm,"£19,194.00"
5201141792,RINGWAY JACOBS LIMITED,Public Realm,"£19,194.00"
5201144843,NSL LIMITED,"Construction, Property and Fac Man","£19,141.89"
5201143442,CGI IT UK LIMITED,IT and Telecoms,"£19,014.00"
5201141797,RINGWAY JACOBS LIMITED,Public Realm,"£18,914.93"
5201143071,DVIP,Social care,"£18,800.00"
5201141825,STAR CARS LTD,Transport & Travel,"£18,755.27"
1900806617,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£18,730.00"
5201142537,BARTS HEALTH NHS TRUST,Public Health,"£18,715.96"
5201144768,RINGWAY JACOBS LIMITED,Public Realm,"£18,646.04"
5201142175,VICTIM SUPPORT,General,"£18,375.00"
5201144127,SOUTHERN LANDSCAPE AND CONSTRUCTION,"Construction, Property and Fac Man","£18,205.00"
5201142983,TOTTENHAM HOTSPUR FOUNDATION,Sport and Leisure,"£18,141.00"
1900806115,HILLCREST AUTISM SERVICES LTD,General,"£18,117.33"
8001840541,LONDON BOROUGH OF BRENT,Children and Education,"£18,000.00"
8001866921,BRIGHTON AND HOVE CITY COUNCIL,Social care,"£18,000.00"
1900805511,NLI SCHOOL LTD,General,"£18,000.00"
1900806206,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£17,996.05"
5201141819,NATIONAL CRIME AGENCY,People and Recruitment,"£17,863.95"
5201143718,JOHN MCASLAN + PARTNERS LTD,General,"£17,500.00"
1900806587,LYRECO UK LTD,General,"£17,319.54"
5201141799,RINGWAY JACOBS LIMITED,Public Realm,"£17,074.05"
5201144084,UNITED GUARDING SERVICES LTD,General,"£16,948.32"
1900805503,KEDLESTON SCHOOLS (LONDON) LIMITED,General,"£16,800.00"
1900805504,KEDLESTON SCHOOLS (LONDON) LIMITED,General,"£16,800.00"
5201142541,HOMERTON UNIVERSITY HOSPITAL NHS,Public Health,"£16,757.00"
1900805507,NLI SCHOOL LTD,General,"£16,750.00"
1900805512,NLI SCHOOL LTD,General,"£16,750.00"
1900805506,NLI SCHOOL LTD,General,"£16,750.00"
8001885403,ARNFIELD CARE LTD,Temporary Accommodation,"£16,564.29"
1900805782,VAROSI ESTATES LIMITED,Temporary Accommodation,"£16,318.77"
1900805193,LONDON BOROUGH OF BARNET,General,"£16,267.50"
1900806445,LONDON BOROUGH OF WALTHAM FOREST,Learning and Development,"£16,000.00"
1900805497,WOODCROFT SCHOOL,General,"£15,961.40"
5201142536,BARTS HEALTH NHS TRUST,Public Health,"£15,807.66"
5201141826,STAR CARS LTD,Transport & Travel,"£15,597.75"
5201143137,LONDON BOROUGH OF CAMDEN,Public Realm,"£15,501.00"
1900806014,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£15,489.73"
8001885391,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£15,428.57"
8001885399,HILLCREST CARE SERVICES LTD,Temporary Accommodation,"£15,428.57"
5201142819,RINGWAY JACOBS LIMITED,Public Realm,"£15,388.65"
5201144388,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£15,340.50"
1900805509,NLI SCHOOL LTD,General,"£15,330.00"
1900805805,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£15,311.87"
5201142630,UNITED GUARDING SERVICES LTD,General,"£15,308.16"
5201142532,ROYAL FREE LONDON NHS FOUNDATION TR,Public Health,"£15,280.45"
1900805307,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£15,172.44"
1900805762,HOMES FOR HARINGEY LIMITED,Finance,"£15,136.72"
5201141573,CGI IT UK LIMITED,IT and Telecoms,"£15,090.00"
1900805542,NACRO,Children and Education,"£15,000.00"
1900806628,PLEXUS LAW CLIENT ACCOUNT,Finance,"£15,000.00"
5201144741,BME CARERS SUPPORT SERVICE,Social care,"£15,000.00"
5201143067,THE PRINCE'S TRUST,General,"£15,000.00"
5201143068,THE PRINCE'S TRUST,General,"£15,000.00"
5201142544,HOMERTON UNIVERSITY HOSPITAL NHS,Public Health,"£14,801.00"
200345495,HAIL LTD,Social care,"£14,799.20"
8001885383,4D CARE LTD,Temporary Accommodation,"£14,785.71"
5201142315,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£14,779.70"
8001885401,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£14,775.00"
8001885396,CHARTWELL CARE PLC,Temporary Accommodation,"£14,571.43"
1900805783,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,420.06"
8001856921,VINEYARD (UK) SERVICES LTD,Social care,"£14,242.80"
1900805318,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£14,040.00"
1900805317,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£14,040.00"
5201142108,THE NIA PROJECT,General,"£14,000.00"
5201144298,GVA GRIMLEY LTD,Public Realm,"£14,000.00"
5201144500,REED BUSINESS INFORMATION LTD,Communication,"£13,900.00"
1900805784,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,820.60"
5201142827,RINGWAY JACOBS LIMITED,People and Recruitment,"£13,726.24"
5201142317,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£13,715.91"
8001885384,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£13,714.29"
8001885388,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£13,714.29"
5201141832,LYNCADE LTD t/a CAVENDISH CARS,Transport & Travel,"£13,682.48"
5201143874,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£13,652.73"
5201144365,CGI IT UK LIMITED,IT and Telecoms,"£13,581.00"
8001885400,4D CARE LTD,Temporary Accommodation,"£13,521.43"
1900806008,HOMES FOR HARINGEY LIMITED,General,"£13,517.51"
1900805785,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,507.84"
5201144201,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£13,487.62"
1900805499,CORNERWAYS CHILDRENS SERVICES LIMIT,General,"£13,455.94"
1900805164,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£13,414.00"
8001841121,YOUTH JUSTICE BOARD FOR ENGLAND & W,Children and Education,"£13,409.00"
5201143538,PENNA PLC,People and Recruitment,"£13,398.00"
5201141827,STAR CARS LTD,Transport & Travel,"£13,258.50"
5201141265,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£13,205.50"
1900805491,PENNA PLC,People and Recruitment,"£13,200.00"
1900806856,BRAKE BROS FOODSERVICE LTD,Food and Drink,"£13,069.52"
5201143573,HOMES FOR HARINGEY LIMITED,People and Recruitment,"£13,039.00"
1900805510,NLI SCHOOL LTD,General,"£13,030.00"
8001857081,GLENDOWER PARTNERS,Social care,"£13,003.98"
5201144158,IRG ADVISORS LLP,People and Recruitment,"£13,000.00"
5201143875,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£12,995.62"
5201142542,HOMERTON UNIVERSITY HOSPITAL NHS,Public Health,"£12,938.00"
5201142233,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£12,922.88"
200345464,METROPOLITAN SUPPORT TRUST,Social care,"£12,902.10"
1900805870,REDACTED PERSONAL DATA,Legal,"£12,875.00"
8001885393,ARNFIELD CARE LTD,Temporary Accommodation,"£12,835.71"
1900805508,NLI SCHOOL LTD,General,"£12,815.00"
5201144474,ROYAL FREE LONDON NHS FOUNDATION TR,Public Health,"£12,704.00"
5201143877,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£12,647.91"
5201142538,BARTS HEALTH NHS TRUST,Public Health,"£12,586.46"
1900805695,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£12,518.74"
5201144497,REDACTED PERSONAL DATA,People and Recruitment,"£12,500.00"
5201144747,LONDON SHELVING LTD T/A BLUEGROUP R,"Construction, Property and Fac Man","£12,485.40"
8001880680,CHOICE SUPPORT,Temporary Accommodation,"£12,401.79"
1900806600,VAROSI ESTATES LIMITED,Temporary Accommodation,"£12,358.88"
5201141829,SAM'S CARS LIMITED,Transport & Travel,"£12,312.91"
1900805389,CAPITA RESOUCING LTD,People and Recruitment,"£12,272.00"
5201141988,RINGWAY JACOBS LIMITED,Public Realm,"£12,268.00"
8001880624,CAMDEN LODGE,Temporary Accommodation,"£12,251.43"
5201142109,THE NIA PROJECT,General,"£12,250.00"
1900805092,ALLPAY LIMITED,General,"£12,203.20"
5201142594,ROYAL FREE LONDON NHS FOUNDATION TR,Public Health,"£12,168.00"
1900806858,BRAKE BROS FOODSERVICE LTD,Food and Drink,"£12,118.87"
1900805572,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£12,002.00"
8001885405,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£12,000.00"
8001885395,FIVE RIVERS CHILD CARE LTD,Temporary Accommodation,"£12,000.00"
200345506,SOLACE WOMEN'S AID,Social care,"£11,911.88"
1900806456,NORTHGATE INFORMATION SOLUTIONS UK,IT and Telecoms,"£11,898.03"
1900806415,BT PAYMENT SERVICES LTD,IT and Telecoms,"£11,886.56"
5201142533,ROYAL FREE LONDON NHS FOUNDATION TR,Public Health,"£11,880.00"
5201142792,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£11,867.94"
5201141841,B & L COACHES,Transport & Travel,"£11,837.28"
1900805829,VAROSI ESTATES LIMITED,Temporary Accommodation,"£11,814.50"
5201142830,RINGWAY JACOBS LIMITED,Public Realm,"£11,701.00"
1900805388,PENNA PLC,People and Recruitment,"£11,700.00"
5201142808,TP BENNETT LLP,Public Realm,"£11,650.00"
5201144324,COVALENT SOFTWARE LIMITED,IT and Telecoms,"£11,622.38"
5201144787,LONDON BOROUGH OF CROYDON,Learning and Development,"£11,600.00"
5201142535,ROYAL FREE LONDON NHS FOUNDATION TR,Public Health,"£11,585.00"
8001850681,EXTRA MILE CARE COMPANY,Social care,"£11,570.48"
1900805320,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£11,555.90"
8001882482,NAS SERVICES LTD,Social care,"£11,419.80"
5201142530,ROYAL FREE LONDON NHS FOUNDATION TR,Public Health,"£11,345.00"
8001885404,AFTER CARE (N W) LIMITED,Temporary Accommodation,"£11,314.28"
5201142531,ROYAL FREE LONDON NHS FOUNDATION TR,Public Health,"£11,274.31"
8001880677,PROGRESS HOMES T/A BLAKE,Temporary Accommodation,"£11,218.33"
8001885407,HOLIBROOK HOUSE,Temporary Accommodation,"£11,142.86"
5201142822,CIPFA BUSINESS LIMITED,People and Recruitment,"£11,014.10"
8001880707,WIDER OPTIONS (3) LTD,Children and Education,"£10,983.56"
5201142534,ROYAL FREE LONDON NHS FOUNDATION TR,Public Health,"£10,960.00"
8001879104,BROOKDALE HEALTHCARE,Temporary Accommodation,"£10,879.93"
8001880634,THE DISABILITIES TRUST,Temporary Accommodation,"£10,793.31"
8001847761,EXTRA MILE CARE COMPANY,Social care,"£10,746.84"
5201142828,RINGWAY JACOBS LIMITED,Public Realm,"£10,742.51"
5201143819,UNITED GUARDING SERVICES LTD,General,"£10,706.16"
5201143822,UNITED GUARDING SERVICES LTD,General,"£10,706.16"
1900805591,COFELY LTD,Energy and Utilities,"£10,686.47"
1900806062,BRIGHT GEMS NURSERY LTD,Children and Education,"£10,685.00"
8001865685,THE LIMES RESIDENTIAL CARE HOME,Temporary Accommodation,"£10,605.72"
8001884005,EDENVALE CARE LIMITED,Temporary Accommodation,"£10,592.30"
8001885698,SENSE,Social care,"£10,581.09"
5201142817,RINGWAY JACOBS LIMITED,Public Realm,"£10,573.02"
8001849421,YOUTH JUSTICE BOARD FOR ENGLAND & W,Children and Education,"£10,494.00"
1900805182,VIRGIN MEDIA PAYMENTS LIMITED,IT and Telecoms,"£10,450.21"
8001874881,MARCUS & MARCUS LTD,Social care,"£10,424.00"
1900806599,VAROSI ESTATES LIMITED,Temporary Accommodation,"£10,414.33"
5201143698,REDACTED PERSONAL DATA,Legal,"£10,350.00"
1900805827,OMEGA LETTINGS LTD,Temporary Accommodation,"£10,318.66"
5201144315,LOGICALIS UK LTD,IT and Telecoms,"£10,239.52"
1900805664,FAHRI JACOB SOLICITORS,Legal,"£10,220.00"
200345463,METROPOLITAN CARE AND REPAIR,Social care,"£10,198.57"
8001880650,THE DISABILITIES TRUST,Temporary Accommodation,"£10,025.61"
8001880678,THE DISABILITIES TRUST,Temporary Accommodation,"£10,025.49"
1900805405,FOOTSTEPS FOOTBALL ACADEMY,Children and Education,"£10,010.00"
5201141916,HARINGEY DISABILITY FIRST CONSORTIU,Children and Education,"£10,000.00"
1900805329,RIVERSIDE SCHOOL,Children and Education,"£10,000.00"
5201143065,SAFER LONDON FOUNDATION,Children and Education,"£10,000.00"
5201143197,RUSKINS TREE SURGERY LTD,Public Realm,"£10,000.00"
5201142856,RINGWAY JACOBS LIMITED,Public Realm,"£9,952.79"
1900806618,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£9,945.00"
1900805702,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£9,922.08"
1900806026,REDACTED PERSONAL DATA,Children and Education,"£9,900.00"
5201143072,DVIP,Social care,"£9,900.00"
8001880828,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£9,899.18"
5201142953,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£9,843.15"
8001885626,SENSE,Temporary Accommodation,"£9,823.20"
200345471,ST IGNATIUS HOUSING ASSOCIATION,Social care,"£9,746.45"
5201142845,RINGWAY JACOBS LIMITED,Public Realm,"£9,716.74"
1900804743,STACE LLP,"Construction, Property and Fac Man","£9,712.50"
1900806598,VAROSI ESTATES LIMITED,Temporary Accommodation,"£9,674.98"
8001883321,CONSENSA CARE LTD,Temporary Accommodation,"£9,673.89"
5201142057,UNITED GUARDING SERVICES LTD,General,"£9,670.08"
5201144323,CACI LTD,IT and Telecoms,"£9,663.59"
8001869044,WESTGATE HEALTHCARE GROUP LIMITED,Social care,"£9,639.18"
5201142838,RINGWAY JACOBS LIMITED,Public Realm,"£9,610.72"
1900805492,PENNA PLC,People and Recruitment,"£9,600.00"
