Transaction No.,Vendor Name, Category ,Amount
1900800789,BRIDGE RENEWAL TRUST,"Construction, Property and Fac Man","£71,250.04"
5201135207,RINGWAY JACOBS LIMITED,Public Realm,"£71,024.34"
5201133151,CITY OF LONDON,Learning and Development,"£70,071.75"
1900799167,CORELOGIC LTD,IT and Telecoms,"£66,489.36"
1900799980,URBAN LAND MANAGEMENT LTD,Temporary Accommodation,"£64,968.51"
5201133963,RINGWAY JACOBS LIMITED,Public Realm,"£62,567.91"
5201134278,SAP ( UK ) LTD,IT and Telecoms,"£62,067.00"
1900799989,LONDON BOROUGH OF WALTHAM FOREST,Children and Education,"£59,607.00"
1900799611,YOUNG EPILEPSY,Children and Education,"£58,726.33"
1900799994,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£58,030.43"
1900799546,SCCI ALPHATRACK LTD,"Construction, Property and Fac Man","£57,674.78"
1900798915,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£55,805.60"
1900799582,SENAD LIMITED,Children and Education,"£55,697.33"
5201133444,LOGICALIS UK LTD,IT and Telecoms,"£55,654.00"
200343142,EPIC TRUST - SWALLOW HOUSE,Social care,"£55,567.36"
200342674,EPIC TRUST - SWALLOW HOUSE,Social care,"£55,567.36"
5201134044,BLENHEIM CDP,Social care,"£55,073.50"
1900800452,MULALLEY AND CO LIMITED,"Construction, Property and Fac Man","£54,869.70"
5201133149,PENNA PLC,People and Recruitment,"£54,000.00"
1900800693,PLEXUS LAW CLIENT ACCOUNT,Finance,"£53,610.80"
200343168,METROPOLITAN SUPPORT TRUST,Social care,"£53,467.84"
200342700,METROPOLITAN SUPPORT TRUST,Social care,"£53,467.84"
1900798950,BARTS HEALTH NHS TRUST,Public Health,"£53,416.00"
5201132848,EMBRACE UK COMMUNITY SUPPORT CENTRE,Children and Education,"£52,500.00"
5201135607,CITY OF LONDON,General,"£52,219.78"
1900799216,PLEXUS LAW CLIENT ACCOUNT,Finance,"£52,000.00"
1900797699,WANDSWORTH BOROUGH COUNCIL,Children and Education,"£51,831.13"
1900798941,WANDSWORTH COUNCIL,Children and Education,"£51,831.13"
200342688,ONE HOUSING GROUP LTD,Social care,"£50,958.00"
200343156,ONE HOUSING GROUP LTD,Social care,"£50,958.00"
5201133960,RINGWAY JACOBS LIMITED,Public Realm,"£50,863.73"
5201133816,LONDON BOROUGH OF ENFIELD,General,"£50,820.74"
1900798819,BERNIE GRANT CENTRE PARTNERSHIP LTD,Social care,"£50,000.00"
5201132226,HARINGEY CITIZEN'S ADVICE BUREAUX,Children and Education,"£50,000.00"
5201133890,FUSION LIFESTYLE,General,"£49,850.00"
5201135226,LINBROOK SERVICES LIMITED,"Construction, Property and Fac Man","£49,623.88"
5201133487,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£49,620.44"
200342675,ST MUNGOS HOUSING ASSOCIATION,Social care,"£48,307.44"
200343143,ST MUNGOS HOUSING ASSOCIATION,Social care,"£48,307.44"
1900800608,ACTION FOR BLIND PEOPLE,Children and Education,"£48,000.00"
5201135208,RINGWAY JACOBS LIMITED,Public Realm,"£47,194.93"
5201134434,CIVICA UK LTD,IT and Telecoms,"£45,301.23"
5201133445,W.F.BUTTON & SON LTD T/A BUTTON-LIN,"Construction, Property and Fac Man","£44,250.00"
1900799297,PLEXUS CLIENT ACCOUNT,Finance,"£42,500.00"
5201133109,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£42,010.67"
5201133136,T LOUGHMAN & CO LTD,"Construction, Property and Fac Man","£41,514.11"
5201134354,VEOLIA ES (UK) LTD,Public Realm,"£40,110.61"
5201134045,EQUINOX,Social care,"£37,634.75"
200342699,ST MUNGOS HOUSING ASSOCIATION,Social care,"£37,564.19"
200343167,ST MUNGOS HOUSING ASSOCIATION,Social care,"£37,564.19"
1900798951,BARTS HEALTH NHS TRUST,Public Health,"£37,506.00"
5201133288,FAMILY ACTION,Children and Education,"£37,432.00"
5201133635,RUSKIN PRIVATE HIRE LTD,Transport & Travel,"£36,301.51"
5201134107,HARINGEY ADVISORY GRP ON ALCOHOL,Social care,"£36,224.25"
5201135444,RINGWAY JACOBS LIMITED,Public Realm,"£36,028.13"
200343165,ST MUNGOS HOUSING ASSOCIATION,Social care,"£35,777.08"
200342697,ST MUNGOS HOUSING ASSOCIATION,Social care,"£35,777.08"
200342687,FAMILY MOSAIC,Social care,"£35,722.02"
200343155,FAMILY MOSAIC,Social care,"£35,722.02"
1900798850,BRITISH TELECOMMUNICATION PLC,IT and Telecoms,"£35,141.04"
1900799070,SCCI ALPHATRACK LTD,"Construction, Property and Fac Man","£34,624.74"
5201133287,QUAKER SOCIAL ACTION,Children and Education,"£34,166.00"
5201133630,LONDON BOROUGH OF ENFIELD,General,"£33,122.68"
5201134123,IMPOWER CONSULTING LTD,People and Recruitment,"£32,960.00"
5201135211,RINGWAY JACOBS LIMITED,Public Realm,"£32,877.82"
5201133893,IMPOWER CONSULTING LTD,People and Recruitment,"£32,266.66"
1900799748,HOMES FOR HARINGEY LIMITED,General,"£32,098.72"
5201133451,MITREFINCH,IT and Telecoms,"£30,311.59"
1900798502,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£30,000.00"
5201134599,CGI IT UK LIMITED,IT and Telecoms,"£30,000.00"
1900799150,THE WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£29,569.00"
5201133889,STAR CARS LTD,Transport & Travel,"£29,537.95"
5201135209,RINGWAY JACOBS LIMITED,Public Realm,"£29,467.99"
8001739541,GREEN LANES PROJECTS LTD,Temporary Accommodation,"£29,385.72"
5201135381,PURCHASING INDEX LTD,IT and Telecoms,"£28,500.00"
1900800185,BRIGHT GEMS NURSERY LTD,General,"£28,274.40"
1900800100,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£28,236.25"
5201133964,RINGWAY JACOBS LIMITED,Public Realm,"£28,004.79"
1900800184,ABC123 CHILDCARE LIMITED,General,"£27,972.00"
1900800187,ILSE AMLOT CENTRE FOR WOMEN & CHILD,General,"£27,014.40"
1900799912,TAVISTOCK & PORTMAN NHS FT,Children and Education,"£27,000.00"
5201134299,NLPC LTD,General,"£26,998.58"
5201132774,B & L COACHES,Transport & Travel,"£26,478.88"
5201134359,RINGWAY JACOBS LIMITED,Public Realm,"£25,625.11"
5201132772,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£25,476.94"
5201135205,RINGWAY JACOBS LIMITED,Public Realm,"£25,351.62"
8001680815,NAZARETH HOUSE,Social care,"£25,264.28"
5201135218,BIG WHITE WALL,Public Health,"£25,000.00"
5201134374,CITY OF LONDON,General,"£25,000.00"
1900800416,HARINGEY CITIZEN'S ADVICE BUREAUX,Learning and Development,"£25,000.00"
1900799118,THE ENTERTAINMENT DEPARTMENT (UK) L,"Construction, Property and Fac Man","£24,828.19"
5201133485,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£24,820.48"
1900798916,MEARS LTD,"Construction, Property and Fac Man","£24,812.09"
5201135210,RINGWAY JACOBS LIMITED,Public Realm,"£24,786.08"
1900799078,ORANGE PCS LTD,IT and Telecoms,"£24,591.02"
1900799402,BNP PARIBAS REAL ESTATE A&P MGMT UK,People and Recruitment,"£24,550.00"
5201134233,SODEXO HEALTHCARE SERVICES LTD,Food and Drink,"£24,324.52"
5201133130,CIVICA UK LTD,People and Recruitment,"£24,027.61"
5201132770,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£24,024.05"
5201135247,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£23,846.16"
1900800042,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£23,779.35"
1900799426,TRANSPORT FOR LONDON,Transport & Travel,"£23,755.20"
1900798503,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£22,927.50"
1900799610,WEST HEATH 2000,Children and Education,"£22,916.67"
5201135212,RINGWAY JACOBS LIMITED,Public Realm,"£22,823.38"
5201135229,HARINGEY ADVISORY GRP ON ALCOHOL,Social care,"£22,750.00"
5201135443,RINGWAY JACOBS LIMITED,Public Realm,"£22,610.57"
1900799976,VAROSI ESTATES LIMITED,Temporary Accommodation,"£22,593.98"
1900800703,BARNET ENFIELD+HARINGEY MH TRUST,Energy and Utilities,"£22,400.00"
1900800191,RAINBOW EARLY YEARS AND CHILDCARE L,General,"£22,377.60"
5201133536,YOTTA LTD,People and Recruitment,"£22,358.89"
5201134027,CIVICA UK LTD,People and Recruitment,"£22,156.45"
8001754812,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£21,921.42"
5201135198,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£21,891.28"
1900799177,DAIRY CREST LTD,Food and Drink,"£21,676.04"
5201133528,PRICEWATERHOUSECOOPERS LLP,Finance,"£21,550.00"
1900799178,DAIRY CREST LTD,Food and Drink,"£21,396.95"
5201134300,HARINGEY SPORTS DEVELOPMENT,Sport and Leisure,"£21,000.00"
5201135224,INNOVISION HEALTH & WELLBEING CIC,Social care,"£20,716.54"
5201135606,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£20,600.00"
1900799335,HOMES FOR HARINGEY LIMITED,Finance,"£20,489.21"
1900800606,ORANGE PCS LTD,IT and Telecoms,"£20,434.72"
1900800102,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£20,408.34"
200343118,ONE HOUSING GROUP LTD,Social care,"£20,378.55"
200342653,ONE HOUSING GROUP LTD,Social care,"£20,378.55"
5201132865,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£20,322.25"
5201132866,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£20,322.25"
5201132864,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£20,322.25"
5201133983,LEXIS NEXIS UK,Communication,"£20,321.00"
1900799609,SENAD LIMITED,Children and Education,"£20,197.94"
1900800025,NACRO,Children and Education,"£20,000.00"
1900800037,HILLCREST AUTISM SERVICES LTD,Children and Education,"£19,803.33"
1900800418,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£19,760.00"
8001754807,YOUNG OPTIONS COLLEGE LTD,Temporary Accommodation,"£19,707.14"
5201134384,HALCROW GROUP LTD,Public Realm,"£19,600.00"
8001745881,PALM TREE LODGE CARE HOME LTD,Temporary Accommodation,"£19,529.94"
8001745821,PALM TREE LODGE CARE HOME LTD,Temporary Accommodation,"£19,518.25"
8001755102,HORIZON RESIDENTIAL CARE LTD,Temporary Accommodation,"£19,347.42"
5201135442,RINGWAY JACOBS LIMITED,Public Realm,"£19,194.00"
5201135203,RINGWAY JACOBS LIMITED,Public Realm,"£19,194.00"
5201134426,BOSTOCK MARKETING GROUP LIMITED,Communication,"£18,975.00"
1900800168,LAKEHOUSE CONTRACTS LTD,"Construction, Property and Fac Man","£18,912.83"
5201133622,NSL LIMITED,"Construction, Property and Fac Man","£18,859.01"
5201134604,NSL LIMITED,"Construction, Property and Fac Man","£18,859.01"
5201134609,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£18,470.68"
8001761816,ST LUCY LODGE,Temporary Accommodation,"£18,357.39"
1900800216,PENNA PLC,People and Recruitment,"£18,262.56"
1900800573,HOMES FOR HARINGEY LIMITED,Finance,"£18,141.19"
1900800524,ACORN CARE & EDUCATION LTD (SALES),Children and Education,"£17,830.00"
1900800526,ACORN CARE & EDUCATION LTD (SALES),Children and Education,"£17,496.68"
1900800523,ACORN CARE & EDUCATION LTD (SALES),Children and Education,"£17,496.64"
5201135213,RINGWAY JACOBS LIMITED,Public Realm,"£17,421.27"
5201134026,CIVICA UK LTD,People and Recruitment,"£17,086.55"
5201135608,CIVICA UK LTD,People and Recruitment,"£17,010.00"
5201133961,RINGWAY JACOBS LIMITED,Public Realm,"£16,699.27"
1900800522,ACORN CARE & EDUCATION LTD (SALES),Children and Education,"£16,644.80"
1900800525,ACORN CARE & EDUCATION LTD (SALES),Children and Education,"£16,644.80"
1900800105,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£16,524.17"
8001754810,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£15,942.86"
5201134279,SAP ( UK ) LTD,IT and Telecoms,"£15,878.00"
1900800618,PENNA PLC,People and Recruitment,"£15,750.00"
5201134252,MANHATTAN SOFTWARE GROUP LTD,IT and Telecoms,"£15,715.00"
8001754802,4D CARE LTD,Temporary Accommodation,"£15,278.58"
1900799687,VAROSI ESTATES LIMITED,Temporary Accommodation,"£15,275.52"
5201133537,TRANSPORT TRADING LTD,Transport & Travel,"£15,268.50"
1900799396,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£15,149.00"
8001754816,CHARTWELL CARE PLC,Temporary Accommodation,"£15,057.14"
5201135536,HEALTHMATIC LTD,General,"£14,972.36"
5201133225,VOLKERHIGHWAYS LTD,Public Realm,"£14,834.00"
5201134632,RINGWAY JACOBS LIMITED,Public Realm,"£14,810.92"
1900800096,IRG ADVISORS LLP,People and Recruitment,"£14,572.60"
1900800209,BRAKE BROS LIMITED,Food and Drink,"£14,311.55"
200342681,HAIL LTD,Social care,"£14,230.00"
200343149,HAIL LTD,Social care,"£14,230.00"
5201134762,UNITED GUARDING SERVICES LTD,General,"£14,214.72"
8001754808,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£14,171.42"
8001754805,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£14,171.42"
1900800207,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,126.70"
1900799688,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,115.81"
8001748401,YOUTH JUSTICE BOARD FOR ENGLAND & W,Children and Education,"£14,088.00"
1900799685,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,069.63"
8001761469,CARETECH COMMUNITY SERVICES LTD,Temporary Accommodation,"£14,067.86"
8001740873,THEMICARE LTD,"Construction, Property and Fac Man","£14,049.43"
1900799668,JONATHAN ROBERTS CONSULTING LTD,General,"£13,985.00"
1900799758,PLEXUS CLIENT ACCOUNT,Finance,"£13,939.00"
1900800211,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,865.31"
1900798849,BRAKE BROS FOODSERVICE LTD,Food and Drink,"£13,777.48"
1900799689,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,768.56"
1900798859,BRAKE BROS FOODSERVICE LTD,Food and Drink,"£13,640.36"
5201133958,STAR CARS LTD,Transport & Travel,"£13,597.58"
1900800208,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,587.35"
1900800206,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,529.55"
5201133094,CAPITA BUSINESS SERVICES LTD NO1,People and Recruitment,"£13,410.96"
1900800203,BRAKE BROS LIMITED,Food and Drink,"£13,379.83"
8001765565,DRS CARE HOMES LTD,Temporary Accommodation,"£13,371.43"
1900799073,ALLPAY LIMITED,Finance,"£13,296.27"
8001754813,ARNFIELD CARE LTD,Temporary Accommodation,"£13,263.58"
5201132736,HOMES FOR HARINGEY LIMITED,People and Recruitment,"£13,225.64"
200343117,METROPOLITAN SUPPORT TRUST,Social care,"£13,169.04"
8001739547,ENHAM,Temporary Accommodation,"£13,057.68"
5201135537,IRG ADVISORS LLP,People and Recruitment,"£13,000.00"
5201134630,RINGWAY JACOBS LIMITED,Public Realm,"£12,920.70"
200342652,METROPOLITAN SUPPORT TRUST,Social care,"£12,902.10"
5201133448,NORTHGATE INFORMATION SOLUTIONS UK,IT and Telecoms,"£12,887.50"
1900800089,GATENBYSANDERSON LTD,People and Recruitment,"£12,825.00"
8001765336,CHOICE SUPPORT,Temporary Accommodation,"£12,818.89"
5201135546,ACTIVIST GROUP LTD,People and Recruitment,"£12,760.38"
5201133957,STAR CARS LTD,Transport & Travel,"£12,626.75"
1900798985,LYRECO UK LTD,General,"£12,601.94"
1900799405,BNP PARIBAS REAL ESTATE A&P MGMT UK,People and Recruitment,"£12,500.00"
8001754815,FIVE RIVERS CHILD CARE LTD,Temporary Accommodation,"£12,400.00"
5201135475,CITY OF LONDON,Public Realm,"£12,301.00"
200342655,DIMENSIONS (UK) LIMITED,Social care,"£12,282.32"
5201134605,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£12,090.82"
5201135483,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£12,000.00"
5201135549,GATENBYSANDERSON LTD,Communication,"£12,000.00"
1900800471,PENNA PLC,Children and Education,"£12,000.00"
1900800092,IRG ADVISORS LLP,People and Recruitment,"£11,962.50"
200342692,SOLACE WOMEN'S AID,Social care,"£11,911.88"
200343160,SOLACE WOMEN'S AID,Social care,"£11,911.88"
5201133112,NEKTUS LTD,People and Recruitment,"£11,843.00"
8001766241,NAS SERVICES LTD,Social care,"£11,800.46"
8001731541,NAS SERVICES LTD,Social care,"£11,800.46"
1900800425,BT PAYMENT SERVICES LTD,IT and Telecoms,"£11,781.12"
1900799978,OMEGA LETTINGS LTD,Temporary Accommodation,"£11,744.66"
5201133222,RINGWAY JACOBS LIMITED,Public Realm,"£11,701.00"
5201133223,RINGWAY JACOBS LIMITED,Public Realm,"£11,701.00"
1900800604,REDFERN Transport & Travel LTD,Transport & Travel,"£11,700.20"
1900798839,CONSULTCIH LTD,Communication,"£11,677.94"
8001765333,PROGRESS HOMES T/A BLAKE,Temporary Accommodation,"£11,592.27"
5201134715,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£11,580.31"
8001754801,HOLIBROOK HOUSE,Temporary Accommodation,"£11,514.28"
1900799955,MENORAH GRAMMAR SCHOOL,Children and Education,"£11,444.50"
5201134238,UNITED GUARDING SERVICES LTD,General,"£11,396.88"
5201134232,UNITED GUARDING SERVICES LTD,General,"£11,396.88"
8001765366,WIDER OPTIONS (3) LTD,Children and Education,"£11,358.71"
1900799862,WING PARKING LTD,Public Realm,"£11,310.04"
8001761264,BROOKDALE HEALTHCARE,Temporary Accommodation,"£11,242.59"
8001743693,PROTEA CARE HOMES (KENT) LTD,Temporary Accommodation,"£11,180.00"
8001765289,THE DISABILITIES TRUST,Temporary Accommodation,"£11,153.10"
1900800584,THE PETER RIGBY TRUST,Children and Education,"£11,103.00"
1900799342,HOMES FOR HARINGEY LIMITED,Finance,"£11,059.89"
1900799476,PLEXUS CLIENT ACCOUNT,Finance,"£11,050.00"
1900799854,SALTASH ENTERPRISES LTD,"Construction, Property and Fac Man","£11,010.50"
5201134798,THE MARKFIELD PROJECT LTD,Social care,"£11,001.00"
1900800697,PLEXUS CLIENT ACCOUNT,Finance,"£11,000.00"
1900800579,REDFERN Transport & Travel LTD,Transport & Travel,"£10,966.45"
8001764141,SENSE,Social care,"£10,933.78"
1900798756,PENNA PLC,People and Recruitment,"£10,920.00"
1900799184,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£10,878.89"
1900800440,VIRGIN MEDIA PAYMENTS LIMITED,IT and Telecoms,"£10,780.15"
8001748861,EDENVALE CARE LIMITED,Temporary Accommodation,"£10,592.30"
5201134659,LONDON BOROUGH OF CAMDEN,Public Realm,"£10,446.00"
1900798906,THAMES WATER UTILITIES LTD,Energy and Utilities,"£10,443.82"
8001749941,MARCUS & MARCUS LTD,Social care,"£10,424.00"
8001724481,MARCUS & MARCUS LTD,Social care,"£10,424.00"
8001754811,LONDON BOROUGH OF ISLINGTON,Temporary Accommodation,"£10,381.98"
8001765305,THE DISABILITIES TRUST,Temporary Accommodation,"£10,359.81"
8001765334,THE DISABILITIES TRUST,Temporary Accommodation,"£10,359.66"
1900799223,COFELY LTD,Energy and Utilities,"£10,356.09"
1900799296,COFELY LTD,Energy and Utilities,"£10,356.09"
1900800224,THOMAS RIDLEY & SON  LTD,Food and Drink,"£10,289.83"
8001765495,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£10,238.21"
200342651,METROPOLITAN CARE AND REPAIR,Social care,"£10,198.57"
200343116,METROPOLITAN CARE AND REPAIR,Social care,"£10,198.57"
8001764065,SENSE,Temporary Accommodation,"£10,150.64"
1900799580,BARNET ENFIELD+HARINGEY MH TRUST,Public Health,"£10,130.80"
5201133132,MOTT MACDONALD LIMITED,"Construction, Property and Fac Man","£10,044.75"
5201134412,JOHN MCASLAN + PARTNERS LTD,General,"£10,000.00"
1900799452,PLEXUS LAW CLIENT ACCOUNT,Finance,"£10,000.00"
1900799995,LINDHILL CONSULTANCY SERVICES LTD,General,"£10,000.00"
5201134864,DTZ DTL LTD,People and Recruitment,"£10,000.00"
5201134565,TOGETHER NORTH LONDON,Sport and Leisure,"£9,998.34"
8001761861,CONSENSA CARE LTD,Temporary Accommodation,"£9,996.35"
8001765299,CARETECH COMMUNITY SERVICES LTD,Temporary Accommodation,"£9,876.37"
1900797818,WALTHAM FOREST COLLEGE,Children and Education,"£9,800.00"
8001765564,DRS CARE HOMES LTD,Temporary Accommodation,"£9,771.43"
5201134957,UPSONS,General,"£9,769.12"
200342659,ST IGNATIUS HOUSING ASSOCIATION,Social care,"£9,746.45"
200343125,ST IGNATIUS HOUSING ASSOCIATION,Social care,"£9,746.45"
8001765424,CMG LTD,Temporary Accommodation,"£9,722.71"
5201134873,LYNCADE LTD t/a CAVENDISH CARS,Transport & Travel,"£9,713.60"
8001733962,VINEYARD (UK) SERVICES LTD,Social care,"£9,660.00"
1900799520,REDACTED PERSONAL DATA,People and Recruitment,"£9,600.00"
1900800204,VAROSI ESTATES LIMITED,Temporary Accommodation,"£9,597.30"
1900799337,HOMES FOR HARINGEY LIMITED,Finance,"£9,579.31"
5201134793,BME CARERS SUPPORT SERVICE,Social care,"£9,575.00"
5201134437,CGI IT UK LIMITED,IT and Telecoms,"£9,507.00"
5201133447,ALEMBA LIMITED,IT and Telecoms,"£9,500.00"
8001719821,THE NELSON TRUST,Social care,"£9,467.64"
1900799673,THE BROOK SPECIAL PRIMARY SCHOOL,Children and Education,"£9,417.06"
1900799749,STOR-A-FILE LTD,General,"£9,351.47"
1900799958,MENORAH GRAMMAR SCHOOL,Children and Education,"£9,280.00"
5201134164,CMC PARTNERSHIP (UK) LIMITED,People and Recruitment,"£9,250.00"
8001754821,HILLFIELD CHILDREN'S HOME LTD,Temporary Accommodation,"£9,233.58"
8001761280,HOFFMANN FOUNDATION FOR AUTISM,Social care,"£9,199.61"
1900800094,IRG ADVISORS LLP,People and Recruitment,"£9,161.60"
1900799754,BRIGHT CHILD (BOUNDS GREEN) LTD,General,"£9,090.00"
5201134231,UNITED GUARDING SERVICES LTD,General,"£9,020.88"
1900799317,PLEXUS CLIENT ACCOUNT,Finance,"£9,000.00"
5201133159,RUSKINS TREE SURGERY LTD,Public Realm,"£9,000.00"
1900798956,INTRINSIQUE LTD,People and Recruitment,"£9,000.00"
5201133462,PWP FS PRINT AND DESIGN,Communication,"£8,990.00"
8001765425,CMG LTD,Temporary Accommodation,"£8,960.73"
5201134974,RINGWAY JACOBS LIMITED,Public Realm,"£8,957.93"
8001754814,TUMBLEWOOD PROJECT LIMITED,Temporary Accommodation,"£8,914.28"
1900799966,ABINGDON HOUSE SCHOOL,Children and Education,"£8,885.00"
8001764059,SENSE,Social care,"£8,869.80"
8001765420,PRECIOUS HOMES LTD,Temporary Accommodation,"£8,861.56"
8001754820,YOUNG GENERATION,Temporary Accommodation,"£8,857.14"
1900800457,PENNA PLC,People and Recruitment,"£8,769.60"
5201133318,PENNA PLC,People and Recruitment,"£8,700.00"
1900799723,GENERAL ACCOMMODATION ESTATES LTD,Temporary Accommodation,"£8,685.58"
1900799940,MENORAH GRAMMAR SCHOOL,Children and Education,"£8,615.00"
8001744408,SEVACARE (UK) LTD,Social care,"£8,574.72"
1900799886,BRAKE BROS FOODSERVICE LTD,Food and Drink,"£8,552.61"
1900798957,INTRINSIQUE LTD,People and Recruitment,"£8,550.00"
8001765357,CMG LTD,Temporary Accommodation,"£8,540.27"
8001745722,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£8,538.57"
1900798851,BRITISH TELECOMMUNICATION PLC,IT and Telecoms,"£8,524.90"
8001761328,HF TRUST LTD,Social care,"£8,523.11"
