 Transaction  No  , Vendor ,Category,Amount
8001802181,APOLLO CARE & SUPPORTED HOUSING LTD,Temporary Accommodation,"£25,160"
5201135832,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£25,000"
1900800886,PLEXUS CLIENT ACCOUNT,Finance,"£25,000"
5201138228,LONDON PROBATION TRUST,General,"£25,000"
5201137366,LONDON PROBATION TRUST,General,"£25,000"
1900801637,WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£24,489"
1900801616,DENTONS UKMEA LLP,Legal,"£24,179"
1900801956,ORANGE PCS LTD,IT and Telecoms,"£23,734"
1900801580,THE BRANDON CENTRE,People and Recruitment,"£23,102"
5201136752,SOUTHERN LANDSCAPE AND CONSTRUCTION,"Construction, Property and Fac Man","£23,077"
5201136082,RINGWAY JACOBS LIMITED,Public Realm,"£23,077"
1900801581,THE BRANDON CENTRE,People and Recruitment,"£22,835"
1900801260,KEDLESTON SCHOOLS (LONDON) LIMITED,Children and Education,"£22,560"
1900800698,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£22,111"
5201137214,DEEP:BLACK LONDON,Children and Education,"£21,250"
1900801234,TRANSITIONAL CARE LTD,Children and Education,"£21,000"
1900801891,PENNA PLC,People and Recruitment,"£21,000"
8001803639,MAGICARE LTD,General,"£20,850"
5201136216,INNOVISION HEALTH & WELLBEING CIC,Social care,"£20,717"
200343809,METROPOLITAN CARE AND REPAIR,Social care,"£20,397"
200343811,ONE HOUSING GROUP LTD,Social care,"£20,379"
1900801156,RINGWAY JACOBS LIMITED,"Construction, Property and Fac Man","£20,332"
5201135626,NLPC LTD,General,"£20,200"
1900801233,TRANSITIONAL CARE LTD,Children and Education,"£20,031"
1900801918,CITIBANK NA LONDON,Finance,"£20,000"
1900802066,THE GOWER SCHOOL,Children and Education,"£20,000"
1900801228,FP TELESET,General,"£20,000"
5201137041,RINGWAY JACOBS LIMITED,Public Realm,"£19,834"
1900801232,TRANSITIONAL CARE LTD,Children and Education,"£19,500"
1900801899,MOTT MACDONALD LIMITED,"Construction, Property and Fac Man","£19,135"
5201137996,MAC CONTAINER COMPANY LTD,"Construction, Property and Fac Man","£18,890"
8001798394,HAIL LTD,Social care,"£18,823"
1900800792,EAGLE NURSERY LTD,General,"£18,648"
5201136143,STREETSCENE ADDICTION RECOVERY LTD,Public Health,"£18,609"
5201136148,STREETSCENE ADDICTION RECOVERY LTD,Public Health,"£18,609"
5201136145,STREETSCENE ADDICTION RECOVERY LTD,Public Health,"£18,609"
5201137560,STREETSCENE ADDICTION RECOVERY LTD,Public Health,"£18,609"
5201135632,SAVILLS (UK) LIMITED,People and Recruitment,"£18,000"
5201136912,DELOITTE LLP NO 3 RECEIPTS ACCOUNT,People and Recruitment,"£17,500"
5201136398,STAR CARS LTD,Transport & Travel,"£17,389"
1900801667,GATENBYSANDERSON LTD,People and Recruitment,"£17,100"
1900801865,KEDLESTON SCHOOLS (LONDON) LIMITED,Children and Education,"£16,800"
1900800875,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£16,380"
1900801838,WOODCROFT SCHOOL,Children and Education,"£16,211"
1900801809,EAST SUSSEX COUNTY COUNCIL,Children and Education,"£16,153"
1900800972,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£15,966"
1900802599,TINKLERS SOLICITORS CLIENT ACCOUNT,General,"£15,606"
5201136396,STAR CARS LTD,Transport & Travel,"£15,598"
1900800890,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£15,540"
1900801619,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£15,404"
1900800787,PAVILLION PRE-SCHOOL,General,"£15,322"
1900801889,LYRECO UK LTD,General,"£15,099"
5201136272,NLPC LTD,General,"£15,032"
5201138225,NAZ PROJECT LONDON,Public Health,"£15,000"
5201138253,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£15,000"
5201138238,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£14,985"
5201135850,RINGWAY JACOBS LIMITED,Public Realm,"£14,983"
1900801579,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,945"
1900801576,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,840"
1900801578,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,482"
1900801577,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,464"
5201136099,RINGWAY JACOBS LIMITED,Public Realm,"£14,310"
1900801258,DENTONS UKMEA LLP,Legal,"£14,299"
1900802301,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,257"
200343842,HAIL LTD,Social care,"£14,230"
1900801478,BUBIC,Public Health,"£14,030"
1900800766,LONDON BOROUGH OF WALTHAM FOREST,Children and Education,"£14,008"
1900801262,DENTONS UKMEA LLP,Legal,"£13,885"
1900802303,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,804"
1900800976,PLEXUS LAW (OFFICE ACCOUNT),Finance,"£13,691"
1900800975,PLEXUS LAW (OFFICE ACCOUNT),Finance,"£13,680"
1900801986,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£13,676"
1900802652,ALLPAY LIMITED,Finance,"£13,602"
1900802302,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,588"
1900800696,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£13,528"
1900801672,PLEXUS LAW CLIENT ACCOUNT,Finance,"£13,500"
5201135834,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£13,444"
8001803673,SANDHURST LODGE LTD,Temporary Accommodation,"£13,371"
1900802300,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,236"
5201135833,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£13,206"
8001781801,HOLIBROOK HOUSE,Temporary Accommodation,"£13,104"
1900800983,J.A. STEEL AND SON LTD,General,"£13,070"
1900800790,MORNING STAR NURSERY  LTD,General,"£13,054"
1900801774,WOODWARD LEWIS LLP,Learning and Development,"£13,000"
200343810,METROPOLITAN SUPPORT TRUST,Social care,"£12,991"
1900802008,ALLPAY LIMITED,Finance,"£12,967"
5201137335,LYNCADE LTD t/a CAVENDISH CARS,Transport & Travel,"£12,847"
8001766581,ABBEYDALE RESIDENTIAL CARE HOME,Temporary Accommodation,"£12,594"
5201138064,CGI IT UK LIMITED,IT and Telecoms,"£12,562"
1900801897,THE CONSERVATION VOLUNTEERS,General,"£12,500"
1900801378,BNP PARIBAS REAL ESTATE A&P MGMT UK,"Construction, Property and Fac Man","£12,500"
5201137338,LYNCADE LTD t/a CAVENDISH CARS,Transport & Travel,"£12,431"
1900801010,SIEMENS PLC,Energy and Utilities,"£12,357"
5201136691,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£12,305"
5201135849,RINGWAY JACOBS LIMITED,Public Realm,"£12,268"
1900801988,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£12,179"
5201135839,RINGWAY JACOBS LIMITED,Public Realm,"£12,136"
1900800797,CHESTNUTS PRE-SCHOOL,General,"£12,121"
5201137038,RINGWAY JACOBS LIMITED,Public Realm,"£12,068"
200343853,SOLACE WOMEN'S AID,Social care,"£11,912"
1900801938,HOME OFFICE SHARED SERVICES CENTRE,People and Recruitment,"£11,908"
1900800887,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£11,801"
1900800984,J.A. STEEL AND SON LTD,General,"£11,780"
1900801862,MARY HARE SCHOOLS,Children and Education,"£11,771"
1900801848,MARY HARE SCHOOLS,Children and Education,"£11,771"
1900800938,BNP PARIBAS REAL ESTATE A&P MGMT UK,"Construction, Property and Fac Man","£11,745"
5201137039,RINGWAY JACOBS LIMITED,Public Realm,"£11,701"
5201135865,RINGWAY JACOBS LIMITED,Public Realm,"£11,701"
8001801957,CHOICE SUPPORT,Temporary Accommodation,"£11,578"
1900801501,COFELY LTD,Energy and Utilities,"£11,454"
1900801264,DENTONS UKMEA LLP,Legal,"£11,428"
1900800795,DEVON CLOSE PRE-SCHOOL,General,"£11,390"
5201136876,PELLINGS LLP,"Construction, Property and Fac Man","£11,374"
1900800873,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£11,327"
5201135842,RINGWAY JACOBS LIMITED,Public Realm,"£11,189"
1900801277,BT PAYMENT SERVICES LTD,IT and Telecoms,"£11,065"
5201138103,UNITED GUARDING SERVICES LTD,General,"£11,052"
1900802168,P SENIOR ASSOCIATES,Children and Education,"£11,000"
5201136165,HARINGEY PHOENIX GROUP,Social care,"£10,825"
5201136166,HARINGEY PHOENIX GROUP,Social care,"£10,825"
5201136167,HARINGEY PHOENIX GROUP,Social care,"£10,825"
1900800798,AFRICAN CARIBBEAN DAY NURSERY,General,"£10,660"
5201136267,RINGWAY JACOBS LIMITED,Public Realm,"£10,609"
5201136097,RINGWAY JACOBS LIMITED,Public Realm,"£10,580"
5201137340,B & L COACHES,Transport & Travel,"£10,575"
1900801602,OMEGA LETTINGS LTD,Temporary Accommodation,"£10,549"
8001801954,PROGRESS HOMES T/A BLAKE,Temporary Accommodation,"£10,470"
5201137437,PENNA PLC,People and Recruitment,"£10,440"
5201137888,MOUCHEL LIMITED,"Construction, Property and Fac Man","£10,276"
8001801987,WIDER OPTIONS (3) LTD,Children and Education,"£10,259"
8001798184,BROOKDALE HEALTHCARE,Temporary Accommodation,"£10,155"
5201137558,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£10,153"
1900800985,J.A. STEEL AND SON LTD,General,"£10,130"
8001801910,THE DISABILITIES TRUST,Temporary Accommodation,"£10,074"
1900801705,REDFERN TRAVEL LTD,Transport & Travel,"£10,021"
8001792101,VINEYARD (UK) SERVICES LTD,Social care,"£10,005"
1900801479,HARINGEY ADVISORY GRP ON ALCOHOL,Public Health,"£10,000"
1900800751,NACRO,Children and Education,"£10,000"
5201122679,TOTTENHAM HOTSPUR FOUNDATION,Sport and Leisure,"£10,000"
1900802125,RIDGE AND PARTNERS LLP,"Construction, Property and Fac Man","£9,932"
5201136017,RINGWAY JACOBS LIMITED,Public Realm,"£9,901"
5201135852,RINGWAY JACOBS LIMITED,Public Realm,"£9,900"
8001803600,SENSE,Social care,"£9,876"
1900801729,CAPSTICK-DALE & PARTNERS SOLICITORS,General,"£9,830"
8001779482,HILLCREST CARE SERVICES LTD,Temporary Accommodation,"£9,771"
200343818,ST IGNATIUS HOUSING ASSOCIATION,Social care,"£9,746"
1900801813,LOCAL GOVERNMENT ASSOCIATION,Legal,"£9,727"
5201138259,EXPRESSWAYS LTD,Transport & Travel,"£9,704"
1900802656,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£9,693"
1900801982,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£9,690"
8001792121,VINEYARD (UK) SERVICES LTD,Social care,"£9,660"
8001770941,VINEYARD (UK) SERVICES LTD,Social care,"£9,660"
5201136196,BDI SECURITIES UK LIMITED,"Construction, Property and Fac Man","£9,623"
1900800784,ESSEX COUNTY COUNCIL,General,"£9,564"
1900801903,PLEXUS LAW CLIENT ACCOUNT,Finance,"£9,500"
1900801804,HODGE JONES & ALLEN LLP,Legal,"£9,500"
5201137916,COMPACT STORAGE LIMITED,"Construction, Property and Fac Man","£9,440"
5201135985,WYG ENVIRONMENT PLANNING TRANSPORT,People and Recruitment,"£9,425"
5201137242,CIPFA BUSINESS LIMITED,People and Recruitment,"£9,405"
8001798791,BUPA CARE HOMES (ANS) LTD,Social care,"£9,397"
1900801272,VIRGIN MEDIA PAYMENTS LIMITED,IT and Telecoms,"£9,385"
5201135921,SOUTHERN LANDSCAPE AND CONSTRUCTION,"Construction, Property and Fac Man","£9,370"
1900801717,PENNA PLC,People and Recruitment,"£9,360"
8001801926,THE DISABILITIES TRUST,Temporary Accommodation,"£9,357"
8001801955,THE DISABILITIES TRUST,Temporary Accommodation,"£9,357"
5201137245,REDACTED PERSONAL DATA,People and Recruitment,"£9,333"
8001802113,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£9,247"
8001754821,HILLFIELD CHILDREN'S HOME LTD,Temporary Accommodation,"£9,234"
5201137937,CIPFA BUSINESS LIMITED,People and Recruitment,"£9,223"
8001803526,SENSE,Temporary Accommodation,"£9,168"
1900800967,IRG ADVISORS LLP,People and Recruitment,"£9,100"
1900801319,GENERAL ACCOMMODATION ESTATES LTD,Temporary Accommodation,"£9,091"
5201137454,PWP FS PRINT AND DESIGN,Communication,"£8,990"
5201136058,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£8,980"
8001801920,CARETECH COMMUNITY SERVICES LTD,Temporary Accommodation,"£8,921"
5201137345,BITE CP LTD,Communication,"£8,873"
5201136195,BDI SECURITIES UK LIMITED,"Construction, Property and Fac Man","£8,834"
8001802045,CMG LTD,Temporary Accommodation,"£8,782"
1900801331,LONDON BOROUGH OF BARNET,"Construction, Property and Fac Man","£8,750"
5201138102,UNITED GUARDING SERVICES LTD,General,"£8,748"
8001773962,MOMENTS FOSTERING LTD,Children and Education,"£8,712"
8001773961,MOMENTS FOSTERING LTD,Children and Education,"£8,712"
8001798197,LONDON CARE PARTNERSHIP LTD,Temporary Accommodation,"£8,688"
5201135856,RINGWAY JACOBS LIMITED,Public Realm,"£8,619"
5201138078,GATENBYSANDERSON LTD,People and Recruitment,"£8,610"
1900801983,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£8,590"
8001792678,SEVACARE (UK) LTD,Social care,"£8,575"
5201136197,BDI SECURITIES UK LIMITED,"Construction, Property and Fac Man","£8,573"
8001770240,SEVACARE (UK) LTD,Social care,"£8,568"
5201135853,RINGWAY JACOBS LIMITED,Public Realm,"£8,544"
5201137549,UNIQUE OFFICE SOLUTIONS LTD,General,"£8,535"
1900802013,BRITISH TELECOMMUNICATION PLC,IT and Telecoms,"£8,525"
1900801174,PIPERS PROJECTS LTD,Communication,"£8,500"
8001790881,EDENVALE CARE LIMITED,Temporary Accommodation,"£8,474"
5201136104,RINGWAY JACOBS LIMITED,Public Realm,"£8,454"
5201135864,RINGWAY JACOBS LIMITED,Public Realm,"£8,454"
1900802639,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£8,402"
1900801282,GVA GRIMLEY LTD,People and Recruitment,"£8,391"
5201136179,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£8,358"
8001798202,HOFFMANN FOUNDATION FOR AUTISM,Social care,"£8,309"
8001802180,REDACTED PERSONAL DATA,Temporary Accommodation,"£8,253"
1900801661,WISE C SOLUTIONS LTD,People and Recruitment,"£8,250"
8001779483,4D CARE LTD,Temporary Accommodation,"£8,113"
8001802046,CMG LTD,Temporary Accommodation,"£8,094"
1900800773,WEST GREEN PLAYGROUP,General,"£8,064"
5201137259,HARINGEY MENCAP LIMITED,Social care,"£8,050"
1900802280,AMBER CONSTRUCTION SERVICES LTD,"Construction, Property and Fac Man","£8,043"
8001803520,SENSE,Social care,"£8,011"
8001802041,PRECIOUS HOMES LTD,Temporary Accommodation,"£8,004"
8001803678,MAGICARE LTD,Temporary Accommodation,"£7,971"
8001803647,NAZARETH CARE CHARITABLE TRUST,Temporary Accommodation,"£7,947"
5201136655,TRANSPORT & TRAVEL RESEARCH LTD,People and Recruitment,"£7,918"
5201136669,GLOBAL MEDIA PRODUCTIONS,Communication,"£7,853"
1900800897,LONDON BOROUGH OF BRENT,Children and Education,"£7,848"
8001802343,ANNA HOUSE LTD,Temporary Accommodation,"£7,809"
5201137233,HEWLETT-PACKARD LTD,IT and Telecoms,"£7,730"
8001801978,CMG LTD,Temporary Accommodation,"£7,714"
8001798250,HF TRUST LTD,Social care,"£7,698"
8001803487,NORWOOD SCHOOLS LTD,Temporary Accommodation,"£7,615"
8001803527,RESIDENTIAL CARE PROVIDERS LTD,Temporary Accommodation,"£7,590"
8001798395,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£7,573"
200343855,HORNSEY (NORTH LONDON) YMCA HOUSING,Social care,"£7,560"
8001776961,ONE HOUSING GROUP LTD,Social care,"£7,549"
8001798257,INDEPENDENCE HOMES LTD,Temporary Accommodation,"£7,538"
1900800667,CA AMOS ASSOCIATES,Children and Education,"£7,500"
5201136150,BIKUR CHOLIM LTD,Social care,"£7,500"
5201138232,BIKUR CHOLIM LTD,Social care,"£7,500"
8001801943,DRS CARE HOMES LTD,Temporary Accommodation,"£7,491"
5201138234,GENERAL DYNAMICS INFOMATION TECH LT,General,"£7,469"
8001766895,ALERE CARE LIMITED,"Construction, Property and Fac Man","£7,469"
1900800776,TOTTENHAM GREEN COMMUNITY NURSERY,General,"£7,459"
5201136644,HIGHGATE GROUP PRACTICE,Public Health,"£7,450"
5201138277,GENERAL DYNAMICS INFOMATION TECH LT,General,"£7,361"
5201138252,GENERAL DYNAMICS INFOMATION TECH LT,General,"£7,359"
1900800962,REDACTED PERSONAL DATA,Public Health,"£7,333"
8001801933,ROYAL MENCAP SOCIETY,Social care,"£7,326"
8001803525,SENSE,Temporary Accommodation,"£7,247"
1900800737,ISLINGTON COUNCIL,Learning and Development,"£7,226"
8001802112,DRS CARE HOMES LTD,Temporary Accommodation,"£7,200"
8001802068,DRS CARE HOMES LTD,Temporary Accommodation,"£7,200"
8001801985,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£7,200"
8001798228,SAIVAN CARE SERVICES LTD,Temporary Accommodation,"£7,116"
8001798844,SUNCARE RECOVERY LTD,Temporary Accommodation,"£7,085"
5201136875,ATKINS LTD,"Construction, Property and Fac Man","£7,077"
8001801906,PRECIOUS HOMES LTD,Temporary Accommodation,"£7,053"
5201135846,INNOVISION HEALTH & WELLBEING CIC,Social care,"£7,045"
1900800924,REDBRIDGE TUITION SERVICES,Children and Education,"£7,013"
8001803529,PRECIOUS HOMES LTD,Temporary Accommodation,"£6,969"
8001803659,PATHWAY HEALTHCARE LTD,Temporary Accommodation,"£6,885"
8001798292,HILLGREEN CARE LIMITED,Temporary Accommodation,"£6,866"
8001798397,THE ABBEYFIELD NORTH LONDON SOCIETY,Temporary Accommodation,"£6,862"
1900801873,YESODEY HATORAH PRIMARY GIRLS SCHOO,Children and Education,"£6,858"
5201137470,SAM'S CARS LIMITED,Transport & Travel,"£6,839"
1900800529,HERTFORDSHIRE COUNTY COUNCIL,Social care,"£6,820"
1900801575,VAROSI ESTATES LIMITED,Temporary Accommodation,"£6,818"
8001802006,GREENVIEW HEALTHCARE LTD,Temporary Accommodation,"£6,809"
8001758681,AUTISM WEST MIDLANDS,Social care,"£6,805"
5201137557,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,800"
8001798289,GREEN LANES PROJECTS LTD,Temporary Accommodation,"£6,787"
5201136764,PACE FUELCARE LTD,Energy and Utilities,"£6,775"
5201138281,PENNA PLC,General,"£6,754"
5201137212,REDACTED PERSONAL DATA,People and Recruitment,"£6,752"
8001792081,SEVACARE (UK) LTD,Social care,"£6,752"
8001801904,CAVENDISH CARE,Temporary Accommodation,"£6,737"
8001794472,SCIMITAR CARE HOTELS PLC,Temporary Accommodation,"£6,732"
1900802222,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£6,720"
200343846,HORNSEY (NORTH LONDON) YMCA HOUSING,Social care,"£6,720"
5201137559,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,717"
5201137890,PELLINGS LLP,"Construction, Property and Fac Man","£6,685"
1900802712,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£6,628"
8001798290,HAIL LTD,Social care,"£6,613"
1900800874,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£6,613"
8001798924,UNIFIED CARE LTD T/A VICTORIA'S CAR,Temporary Accommodation,"£6,603"
200343852,SOLACE WOMEN'S AID,Social care,"£6,528"
1900801659,SRH SOLUTIONS LTD,People and Recruitment,"£6,500"
5201138075,UNITED GUARDING SERVICES LTD,General,"£6,492"
8001801990,COMPLETE CARE SERVICES LTD,Temporary Accommodation,"£6,489"
1900802142,JLA TOTAL CARE LTD,General,"£6,444"
5201136690,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,437"
5201137473,TAILORMADE PRODUCTIONS (UK) LTD,General,"£6,410"
5201136064,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,402"
200343854,METROPOLITAN SUPPORT TRUST,Social care,"£6,400"
5201137693,AGE UK HARINGEY,Social care,"£6,375"
5201137694,AGE UK HARINGEY,Social care,"£6,375"
