Transaction  No.,Vendor Name,Category,Amount
200337472,EPIC TRUST - SWALLOW HOUSE,Social care,"£46,703"
5201118178,WESTMINSTER DRUG PROJECT LTD,General,"£45,904"
1900789818,MACINTYRE CARE,Children and Education,"£45,874"
200337475,ONE HOUSING GROUP LTD,Social care,"£44,247"
1900789286,RUSKIN PRIVATE HIRE LTD,Travel,"£41,645"
5201118900,ENERGY MANAGEMENT SOLUTIONS LIMITED,People and Recruitment,"£38,400"
5201118179,WESTMINSTER DRUG PROJECT LTD,General,"£37,970"
5201119526,FAMILY ACTION,Children and Education,"£37,432"
1900789715,THE WHITTINGTON HOSPITAL NHS TRUST,Learning and Development,"£36,763"
5201117915,NLPC LTD,General,"£36,618"
200337463,ST MUNGOS HOUSING ASSOCIATION,Social care,"£35,777"
5201119493,NPS LONDON LTD,"Construction, Property and Fac Man","£35,019"
1900789297,STAR CARS LTD,Travel,"£33,812"
1900789275,B & L COACHES,Travel,"£30,695"
5201119494,W.F.BUTTON & SON LTD T/A BUTTON-LIN,"Construction, Property and Fac Man","£30,562"
5201118052,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£30,303"
1900789386,THE WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£29,569"
5201119370,CIPFA BUSINESS LIMITED,Finance,"£29,440"
5201119097,CADLINE LTD,IT and Telecoms,"£29,360"
5201118647,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£28,843"
1900789716,HERTFORDSHIRE COUNTY COUNCIL,Children and Education,"£28,512"
5201118151,FUSION LIFESTYLE,General,"£28,436"
5201118152,FUSION LIFESTYLE,General,"£28,436"
5201118415,FUSION LIFESTYLE,General,"£28,436"
5201118416,FUSION LIFESTYLE,General,"£28,436"
1900789819,TAVISTOCK & PORTMAN NHS FT,Children and Education,"£27,000"
5201118050,EUROPA FACILITIES MANAGEMENT LTD,"Construction, Property and Fac Man","£26,801"
1900789464,LONDON BOROUGH OF BARNET,People and Recruitment,"£26,549"
1900790124,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£25,819"
5201120175,TRAIN2WORK ACADEMY,General,"£25,156"
5201118411,NAS SERVICES LTD,Children and Education,"£24,478"
5201118150,FUSION LIFESTYLE,General,"£24,407"
5201118153,FUSION LIFESTYLE,General,"£24,407"
5201118417,FUSION LIFESTYLE,General,"£24,407"
1900789887,E-ACT T/A HARTSBROOK E-ACT FREE SCH,Children and Education,"£24,000"
5201119971,TRAIN2WORK ACADEMY,General,"£23,156"
5201118211,FUSION LIFESTYLE,"Construction, Property and Fac Man","£22,714"
5201119972,BME CARERS SUPPORT SERVICE,Social care,"£22,500"
5201119973,BME CARERS SUPPORT SERVICE,Social care,"£22,500"
1900790565,ORANGE PCS LTD,IT and Telecoms,"£22,411"
5201119492,MOUCHEL LIMITED,"Construction, Property and Fac Man","£22,171"
8001556069,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£21,921"
5201119969,POSITIVE EMPLOYMENT & TRAINING JOB,General,"£21,281"
5201118414,FUSION LIFESTYLE,General,"£20,531"
5201119968,NAS SERVICES LTD,Children and Education,"£20,469"
200337457,ONE HOUSING GROUP LTD,Social care,"£20,379"
8001552329,MEDWAY COUNCIL,Children and Education,"£20,125"
1900788704,FP TELESET,General,"£20,000"
1900789885,CITIBANK NA LONDON,Finance,"£20,000"
1900790661,FP TELESET,General,"£20,000"
1900790675,TELESET,General,"£20,000"
8001556522,CABRINI CHILDREN'S SOCIETY,Social care,"£19,800"
8001557102,NORWOOD SCHOOLS LTD,Social care,"£19,800"
8001556060,YOUNG OPTIONS COLLEGE LTD,Temporary Accommodation,"£19,707"
1900788936,NAS SERVICES LTD,Children and Education,"£19,699"
1900790273,IMPOWER CONSULTING LTD,People and Recruitment,"£19,615"
1900790047,BOWDEN HOUSE SCHOOL,Children and Education,"£19,050"
5201118438,NSL LIMITED,"Construction, Property and Fac Man","£18,859"
1900789103,BUSINESS STORAGE SOLUTIONS LTD,General,"£18,802"
5201119525,QUAKER SOCIAL ACTION,Children and Education,"£18,239"
5201118653,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£18,000"
8001548124,YOUTH JUSTICE BOARD FOR ENGLAND & W,Children and Education,"£17,370"
5201118648,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£17,279"
1900789903,IRG ADVISORS LLP,People and Recruitment,"£17,063"
1900789299,STAR CARS LTD,Travel,"£16,914"
1900789107,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£16,617"
1900790253,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£16,617"
1900790256,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£16,617"
1900790039,TRANSITIONAL CARE LTD,Children and Education,"£16,500"
1900789260,BDI SECURITIES UK LIMITED,General,"£16,174"
1900790060,UNIVERSITY OF SOUTHAMPTON,Learning and Development,"£16,000"
8001556067,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£15,943"
8001556078,BENJAMIN UK LTD,Temporary Accommodation,"£15,854"
8001556063,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£15,744"
5201118791,CYCLE TRAINING UK LTD,Learning and Development,"£15,712"
1900789296,STAR CARS LTD,Travel,"£15,711"
5201119358,IMPOWER CONSULTING LTD,People and Recruitment,"£15,703"
8001556052,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£15,636"
1900789883,PLEXUS CLIENT ACCOUNT,Finance,"£15,578"
8001556064,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£15,500"
8001556079,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£15,268"
1900788813,JJ FOOD SERVICE LTD,Food and Drink,"£15,249"
8001556071,HILLCREST CARE SERVICES LTD,Temporary Accommodation,"£15,146"
5201118382,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£15,071"
5201118650,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£14,985"
1900790133,GATENBYSANDERSON LTD,People and Recruitment,"£14,963"
8001556074,HOLIBROOK HOUSE,Temporary Accommodation,"£14,946"
5201120232,LIVING UNDER ONE SUN LIMITED,General,"£14,900"
1900790478,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,891"
1900790475,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,883"
5201120150,REDACTED PERSONAL DATA,People and Recruitment,"£14,791"
1900789972,PENNA PLC,People and Recruitment,"£14,625"
1900790477,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,526"
5201118184,SNAPCOMMS UK LIMITED,IT and Telecoms,"£14,500"
1900790473,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,441"
1900790021,GREEN PARK INTERIM & EXECUTIVE LTD,People and Recruitment,"£14,375"
1900790417,SODEXO LIMITED,Food and Drink,"£14,259"
200337494,HAIL LTD,Social care,"£14,230"
1900790414,SODEXO LIMITED,Food and Drink,"£14,190"
8001556061,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£14,171"
8001556062,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£14,171"
5201120231,ISLINGTON COUNCIL,General,"£14,150"
200337503,FAMILY MOSAIC,Social care,"£14,034"
5201118085,CITY OF LONDON,General,"£13,972"
1900789498,LYRECO UK LTD,General,"£13,947"
5201119984,KISHARON,Children and Education,"£13,854"
5201119346,GATENBYSANDERSON LTD,Communication,"£13,800"
5201118422,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£13,781"
5201118430,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£13,750"
1900789062,PENNA PLC,People and Recruitment,"£13,650"
1900789917,GEORGE LONDON PROPERTY SRVCS LTD,Temporary Accommodation,"£13,557"
1900789783,LONDON BUS SERVICES LTD,Travel,"£13,515"
8001546148,MAPLE CARE AND SUPPORT SERVICES LTD,Temporary Accommodation,"£13,504"
200337456,METROPOLITAN SUPPORT TRUST,Social care,"£13,455"
1900790521,GOSPORT ENGINEERING COMPANY LTD,"Construction, Property and Fac Man","£13,386"
1900790646,PLEXUS CLIENT ACCOUNT,Finance,"£13,347"
1900790416,SODEXO LIMITED,Food and Drink,"£13,291"
8001556072,ARNFIELD CARE LTD,Temporary Accommodation,"£13,264"
1900790052,WING PARKING LTD,Public Realm,"£13,119"
5201118551,IRG ADVISORS LLP,People and Recruitment,"£13,000"
1900789065,IRG ADVISORS LLP,Children and Education,"£12,825"
1900790132,IRG ADVISORS LLP,General,"£12,825"
1900790038,THE BROOK SPECIAL PRIMARY SCHOOL,Children and Education,"£12,799"
1900789288,LYNCADE LTD t/a CAVENDISH CARS,Travel,"£12,704"
8001544632,CHOICE SUPPORT,Temporary Accommodation,"£12,635"
5201120113,TRUSTMARQUE SOLUTIONS LIMITED,IT and Telecoms,"£12,597"
5201119986,NAS SERVICES LTD,Children and Education,"£12,544"
5201119988,NAS SERVICES LTD,Children and Education,"£12,544"
5201119985,NAS SERVICES LTD,Children and Education,"£12,543"
8001556070,RUSHCLIFFE CARE GROUP,Temporary Accommodation,"£12,400"
1900790037,THE MARKFIELD PROJECT LTD,General,"£12,137"
1900790480,VAROSI ESTATES LIMITED,Temporary Accommodation,"£12,082"
1900790376,PENNA PLC,Children and Education,"£12,000"
8001556077,CHARTWELL CARE PLC,Temporary Accommodation,"£11,957"
5201118652,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£11,903"
1900789445,BT PAYMENT SERVICES LTD,IT and Telecoms,"£11,849"
5201119233,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£11,762"
5201118787,CYCLE TRAINING UK LTD,Learning and Development,"£11,757"
1900790572,OMEGA LETTINGS LTD,Temporary Accommodation,"£11,745"
1900788957,THE BROOK SPECIAL PRIMARY SCHOOL,Children and Education,"£11,736"
8001544734,CMG LTD,Temporary Accommodation,"£11,612"
5201118657,EXPRESSWAYS LTD,Travel,"£11,555"
5201119942,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£11,516"
1900789441,VIRGIN MEDIA PAYMENTS LIMITED,IT and Telecoms,"£11,514"
1900789955,PENNA PLC,People and Recruitment,"£11,500"
8001544629,PROGRESS HOMES T/A BLAKE,Temporary Accommodation,"£11,472"
5201119073,CIPFA BUSINESS LIMITED,People and Recruitment,"£11,440"
8001544667,WIDER OPTIONS (3) LTD,Children and Education,"£11,362"
8001545927,BROOKDALE HEALTHCARE,Temporary Accommodation,"£11,243"
8001544580,THE DISABILITIES TRUST,Temporary Accommodation,"£11,153"
1900790406,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£11,149"
1900790044,THE PETER RIGBY TRUST,Children and Education,"£11,103"
5201118194,HARINGEY MENCAP LIMITED,Social care,"£11,075"
8001544811,BARNARDO'S,Social care,"£11,051"
1900789857,PLEXUS CLIENT ACCOUNT,Finance,"£11,000"
1900790125,FLYNN COMMUNICATIONS LTD,General,"£11,000"
5201118757,COGNETIX LIMITED,"Construction, Property and Fac Man","£10,950"
8001547025,SENSE,Social care,"£10,934"
1900790234,GREEN PARK INTERIM & EXECUTIVE LTD,People and Recruitment,"£10,800"
1900789925,P&E HARINGEY LODGE LIMITED,Temporary Accommodation,"£10,728"
5201118649,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£10,684"
5201118654,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£10,557"
5201118651,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£10,500"
5201119344,GROUNDWORK LONDON,Public Realm,"£10,452"
8001556068,LONDON BOROUGH OF ISLINGTON,Temporary Accommodation,"£10,382"
1900788955,BPTW PARTNERSHIP,Public Realm,"£10,369"
8001544597,THE DISABILITIES TRUST,Temporary Accommodation,"£10,360"
8001544630,THE DISABILITIES TRUST,Temporary Accommodation,"£10,360"
8001544812,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£10,346"
1900789742,BRUCE GROVE PRIMARY SCHOOL,Children and Education,"£10,344"
5201118656,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£10,250"
200337455,METROPOLITAN CARE AND REPAIR,Social care,"£10,199"
8001546939,SENSE,Temporary Accommodation,"£10,151"
1900789259,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£10,079"
1900790561,D LANGUAGES LTD,Communication,"£10,050"
1900788959,PENNA PLC,People and Recruitment,"£10,000"
1900789125,PLEXUS CLIENT ACCOUNT,Finance,"£10,000"
1900789171,PLEXUS CLIENT ACCOUNT,Finance,"£10,000"
1900789800,PLEXUS CLIENT ACCOUNT,Finance,"£10,000"
1900790198,ALLPAY LIMITED,General,"£10,000"
5201117985,TOGETHER NORTH LONDON,General,"£9,998"
8001546881,CONSENSA CARE LTD,Temporary Accommodation,"£9,996"
5201119253,MOTT MACDONALD LIMITED,"Construction, Property and Fac Man","£9,986"
1900789277,B & L COACHES,Travel,"£9,979"
8001544590,CARETECH COMMUNITY SERVICES LTD,Temporary Accommodation,"£9,876"
5201120067,UPSONS,General,"£9,769"
200337466,ST IGNATIUS HOUSING ASSOCIATION,Social care,"£9,746"
1900788961,PENNA PLC,People and Recruitment,"£9,690"
8001546501,VINEYARD (UK) SERVICES LTD,Social care,"£9,660"
1900789880,EXPRESSWAYS LTD,Travel,"£9,642"
1900776341,THE BROOK SPECIAL PRIMARY SCHOOL,Children and Education,"£9,555"
5201119213,ADOPTIONPLUS LTD,Children and Education,"£9,488"
5201119116,UNITED GUARDING SERVICES LTD,General,"£9,476"
1900789954,PENNA PLC,People and Recruitment,"£9,460"
5201118552,GATENBYSANDERSON LTD,Communication,"£9,450"
5201118579,CIPFA BUSINESS LIMITED,People and Recruitment,"£9,405"
1900788771,FAIRLEY HOUSE SCHOOL,Children and Education,"£9,304"
1900790012,THE BRANDON CENTRE,People and Recruitment,"£9,259"
8001545946,HOFFMANN FOUNDATION FOR AUTISM,Social care,"£9,200"
5201117931,LOGICALIS UK LTD,IT and Telecoms,"£9,188"
5201118202,GATENBYSANDERSON LTD,Communication,"£9,000"
1900790041,ABINGDON HOUSE SCHOOL,Children and Education,"£8,885"
5201119949,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£8,884"
8001546933,SENSE,Social care,"£8,870"
8001544730,PRECIOUS HOMES LTD,Temporary Accommodation,"£8,862"
1900789176,LBH RECEIVERSHIP ACCOUNT,General,"£8,703"
5201118761,JANE PAINTER ASSOCIATES LIMITED,People and Recruitment,"£8,640"
1900789953,PENNA PLC,People and Recruitment,"£8,625"
1900790042,THE MOAT SCHOOL,Children and Education,"£8,615"
1900790578,GATENBYSANDERSON LTD,Communication,"£8,610"
5201117914,NLPC LTD,General,"£8,594"
5201119195,RUSKINS TREE SURGERY LTD,Public Realm,"£8,594"
8001542246,SEVACARE (UK) LTD,Social care,"£8,575"
8001556081,ADEZA CARE HOMES LTD,Temporary Accommodation,"£8,571"
8001556075,GOLD ORCHID LTD T/A CARLTON VALE,Temporary Accommodation,"£8,569"
8001544654,CMG LTD,Temporary Accommodation,"£8,540"
8001544735,CMG LTD,Temporary Accommodation,"£8,528"
8001546004,HF TRUST LTD,Social care,"£8,513"
1900788809,CIPFA BUSINESS LIMITED,People and Recruitment,"£8,505"
5201119117,UNITED GUARDING SERVICES LTD,General,"£8,474"
8001554481,EDENVALE CARE LIMITED,Temporary Accommodation,"£8,474"
8001546905,NORWOOD SCHOOLS LTD,Temporary Accommodation,"£8,431"
8001546940,RESIDENTIAL CARE PROVIDERS LTD,Temporary Accommodation,"£8,404"
1900789388,THE WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£8,333"
1900789293,LYNCADE LTD t/a CAVENDISH CARS,Travel,"£8,317"
8001544617,DRS CARE HOMES LTD,Temporary Accommodation,"£8,293"
1900790311,LAKEHOUSE CONTRACTS LTD,"Construction, Property and Fac Man","£8,214"
8001546014,INDEPENDENCE HOMES LTD,Temporary Accommodation,"£8,193"
8001544606,ROYAL MENCAP SOCIETY,Social care,"£8,111"
1900789148,WINDOWFLOWERS LTD,Public Realm,"£8,060"
8001546938,SENSE,Temporary Accommodation,"£8,024"
1900788716,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£8,000"
1900789332,REDACTED PERSONAL DATA,People and Recruitment,"£8,000"
5201118197,LONDON BOROUGH OF BARNET,Social care,"£7,993"
5201119249,NEKTUS LTD,People and Recruitment,"£7,982"
8001544664,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£7,971"
8001544759,DRS CARE HOMES LTD,Temporary Accommodation,"£7,971"
8001544808,DRS CARE HOMES LTD,Temporary Accommodation,"£7,971"
8001556065,YOUNG GENERATION,Temporary Accommodation,"£7,971"
8001556080,YOUNG GENERATION,Temporary Accommodation,"£7,971"
8001545978,SAIVAN CARE SERVICES LTD,Temporary Accommodation,"£7,878"
5201119218,ST IVES DIRECT BRADFORD LTD,Communication,"£7,853"
8001545153,SUNCARE RECOVERY LTD,Temporary Accommodation,"£7,844"
1900788728,EDUCATION 2DAY LIMITED,Children and Education,"£7,815"
8001544576,PRECIOUS HOMES LTD,Temporary Accommodation,"£7,809"
8001546942,PRECIOUS HOMES LTD,Temporary Accommodation,"£7,715"
8001544689,GREENVIEW HEALTHCARE LTD,Temporary Accommodation,"£7,692"
5201119956,VINCI CONSTRUCTION UK LTD,"Construction, Property and Fac Man","£7,620"
8001546053,HILLGREEN CARE LIMITED,Temporary Accommodation,"£7,601"
8001546049,GREEN LANES PROJECTS LTD,Temporary Accommodation,"£7,520"
5201119364,BIKUR CHOLIM LTD,Social care,"£7,500"
5201118577,MOTT MACDONALD LIMITED,"Construction, Property and Fac Man","£7,469"
8001544574,CAVENDISH CARE,Temporary Accommodation,"£7,459"
8001520664,MAGICARE LTD,Social care,"£7,400"
5201117986,DIRECT SURVEILLANCE SOLUTIONS LTD,"Construction, Property and Fac Man","£7,333"
1900789295,LYNCADE LTD t/a CAVENDISH CARS,Travel,"£7,325"
8001546050,HAIL LTD,Social care,"£7,322"
8001544724,GREEN LANES PROJECTS LTD,Temporary Accommodation,"£7,203"
1900790108,ALPHA PLANNING LTD,People and Recruitment,"£7,200"
5201117979,MOTT MACDONALD LIMITED,People and Recruitment,"£7,200"
8001544672,COMPLETE CARE SERVICES LTD,Temporary Accommodation,"£7,184"
5201119777,CIPFA BUSINESS LIMITED,People and Recruitment,"£7,140"
5201119247,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£7,107"
5201118375,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£7,106"
5201117927,PARAGON GROUP UK LIMITED,Communication,"£7,097"
5201119944,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£7,034"
5201119593,THE PLAY INSPECTION COMPANY LTD,Public Realm,"£7,020"
1900790408,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£7,002"
8001544588,REDACTED PERSONAL DATA,Temporary Accommodation,"£6,948"
5201119348,BARNARDO'S,Children and Education,"£6,867"
8001546882,CONSENSA CARE LTD,Temporary Accommodation,"£6,847"
1900789306,DISCLOSURE AND BARRING SERVICE,People and Recruitment,"£6,802"
8001554672,CARE UK COMMUNITY PARTNERSHIPS LTD,Social care,"£6,786"
1900790340,LAKEHOUSE CONTRACTS LTD,"Construction, Property and Fac Man","£6,772"
8001545924,HOFFMANN FOUNDATION FOR AUTISM,Social care,"£6,764"
8001545961,HOFFMANN FOUNDATION FOR AUTISM,Social care,"£6,762"
1900789256,CLYDE & CO LLP CLIENT ACCOUNT,Finance,"£6,750"
5201119947,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,731"
8001544651,CONSENSA CARE LTD,Temporary Accommodation,"£6,725"
8001555913,INTEGRATED SERVICES PROGRAMME,Children and Education,"£6,719"
8001559281,HF TRUST LTD,Social care,"£6,692"
5201119362,GENERAL DYNAMICS INFOMATION TECH LT,General,"£6,686"
1900790290,THE SOUTHOVER PARTNERSHIP LTD,Children and Education,"£6,681"
1900790291,THE SOUTHOVER PARTNERSHIP LTD,Children and Education,"£6,681"
1900790292,THE SOUTHOVER PARTNERSHIP LTD,Children and Education,"£6,681"
1900789892,SUSIE MASON CONSULTING LIMITED,People and Recruitment,"£6,650"
8001544806,DRS CARE HOMES LTD,Temporary Accommodation,"£6,643"
8001546998,PRUDENTIAL CARE HOME LTD,Temporary Accommodation,"£6,643"
1900789794,GENERAL ACCOMMODATION ESTATES LTD,Temporary Accommodation,"£6,604"
1900790123,FLYNN COMMUNICATIONS LTD,General,"£6,600"
5201119224,CAPITA SYMONDS LIMITED,"Construction, Property and Fac Man","£6,598"
1900788947,ABSOLUTE PROPERTY AGENTS LTD,Temporary Accommodation,"£6,551"
5201119951,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,486"
1900790293,THE SOUTHOVER PARTNERSHIP LTD,Children and Education,"£6,481"
1900790240,SOLACE ENTERPRISES,People and Recruitment,"£6,470"
5201118383,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,457"
8001544602,REDACTED PERSONAL DATA,Temporary Accommodation,"£6,447"
8001546661,ST ELIZABETHS CENTRE,Social care,"£6,422"
1900790121,REDFERN TRAVEL LTD,Travel,"£6,400"
5201118083,PANACEA SOFTWARE LTD,IT and Telecoms,"£6,375"
1900788890,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£6,354"
1900790425,UNITY EDUCATION & TRAINING SERVICES,Children and Education,"£6,350"
1900789870,APOLLO PROPERTY SERVICES GROUP LTD,"Construction, Property and Fac Man","£6,338"
8001554669,THE HILLINGS LTD,Social care,"£6,289"
5201119943,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,286"
1900789807,PLEXUS CLIENT ACCOUNT,Finance,"£6,254"
1900775751,TOTTENHAM GREEN COMMUNITY NURSERY,Children and Education,"£6,250"
1900789959,WISE C SOLUTIONS LTD,People and Recruitment,"£6,250"
5201118801,POSITIVE EMPLOYMENT & TRAINING JOB,General,"£6,210"
8001556073,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£6,207"
8001545939,MISHELLIS PROPERTIES LTD T/A MCA CA,Temporary Accommodation,"£6,200"
8001555897,CREDO CARE LIMITED,Children and Education,"£6,200"
8001555898,CREDO CARE LIMITED,Children and Education,"£6,200"
8001556015,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£6,191"
1900790639,SCCI ALPHATRACK LTD,"Construction, Property and Fac Man","£6,174"
5201118428,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,170"
5201119617,HB SUBSIDY SERVICES LIMITED,General,"£6,165"
1900789167,CROYDON COUNCIL,Finance,"£6,150"
5201119946,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,146"
5201118659,GLOBAL KNOWLEDGE NETWORK TRAINING L,Learning and Development,"£6,140"
8001546915,PAT SHAW HOUSE,Temporary Accommodation,"£6,136"
5201119948,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,130"
5201119577,UNITED GUARDING SERVICES LTD,General,"£6,128"
8001547091,MAGICARE LTD,Temporary Accommodation,"£6,123"
8001544854,DRS CARE HOMES LTD,Temporary Accommodation,"£6,086"
5201120214,PROPERTY AND DESIGN CONSULTANCY LTD,People and Recruitment,"£6,075"
8001545158,REDACTED PERSONAL DATA,Social care,"£6,068"
5201120453,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£6,064"
8001552430,THOMAS POCKLINGTON TRUST LTD,Temporary Accommodation,"£6,056"
8001544829,CMG LTD,Temporary Accommodation,"£6,051"
8001545204,UNIFIED CARE LTD,Temporary Accommodation,"£6,027"
1900788778,LIMESPRING SCHOOL LTD,Children and Education,"£6,025"
1900789276,B & L COACHES,Travel,"£6,024"
5201119831,REDACTED PERSONAL DATA,Legal,"£5,985"
8001544581,REDACTED PERSONAL DATA,Temporary Accommodation,"£5,955"
8001545205,UNIFIED CARE LTD,Temporary Accommodation,"£5,932"
200337495,HAIL LTD,Social care,"£5,920"
8001544657,APOLLO CARE & SUPPORTED HOUSING LTD,Temporary Accommodation,"£5,895"
1900790043,TRINITY SCHOOL ROCHESTER LTD,Children and Education,"£5,880"
5201119246,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£5,876"
5201118220,CLIFFORD DEVLIN LTD,"Construction, Property and Fac Man","£5,850"
8001545984,HAIL LTD,Social care,"£5,841"
8001545986,HAIL LTD,Social care,"£5,841"
5201120114,CADLINE LTD,IT and Telecoms,"£5,841"
8001562666,VINEYARD (UK) SERVICES LTD,Social care,"£5,824"
