Transaction No.,Vendor Name, Category ,Amount
5201130260,CITY OF LONDON,General,"£33,250.00"
5201131141,IMPOWER CONSULTING LTD,People and Recruitment,"£32,960.00"
5201131725,RINGWAY JACOBS LIMITED,Public Realm,"£32,845.09"
5201130819,B & L COACHES,Travel,"£32,537.16"
5201131603,IMPOWER CONSULTING LTD,People and Recruitment,"£32,266.67"
5201131757,RINGWAY JACOBS LIMITED,Public Realm,"£32,115.37"
1900797999,AMBITIOUS ABOUT AUTISM,Children and Education,"£31,318.00"
1900797509,PLEXUS CLIENT ACCOUNT,Finance,"£30,500.00"
1900797472,ABC123 CHILDCARE LIMITED,General,"£30,303.00"
1900797448,WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£29,569.00"
5201132200,HARINGEY LAW CENTRE,Children and Education,"£29,475.00"
1900798209,NPS LONDON LTD,"Construction, Property and Fac Man","£29,174.50"
1900797776,CAREERVISION LTD,IT and Telecoms,"£29,167.00"
8001707175,ASHNESS CARE LTD,Temporary Accommodation,"£28,998.35"
1900798296,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£28,964.35"
5201131845,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£28,842.50"
5201131995,PITNEY BOWES SOFTWARE LTD,IT and Telecoms,"£27,142.67"
1900797507,MOYGLEN CONSTRUCTION LTD,General,"£26,576.73"
5201130284,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£25,000.00"
5201131263,WESTMINSTER DRUG PROJECT LTD,General,"£25,000.00"
5201131736,RINGWAY JACOBS LIMITED,Public Realm,"£24,162.62"
5201130328,SODEXO HEALTHCARE SERVICES LTD,Food and Drink,"£24,063.88"
1900798129,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£23,837.35"
5201131720,RINGWAY JACOBS LIMITED,Public Realm,"£23,440.80"
5201130788,CIVICA UK LTD,People and Recruitment,"£23,078.37"
1900797994,AMBITIOUS ABOUT AUTISM,Children and Education,"£22,980.00"
1900797995,AMBITIOUS ABOUT AUTISM,Children and Education,"£22,980.00"
1900797996,AMBITIOUS ABOUT AUTISM,Children and Education,"£22,980.00"
1900797997,AMBITIOUS ABOUT AUTISM,Children and Education,"£22,980.00"
1900797998,AMBITIOUS ABOUT AUTISM,Children and Education,"£22,980.00"
8001696221,QUEEN ELIZABETH FOUNDATION D NO 1 A,Temporary Accommodation,"£22,906.28"
8001718360,OURRIS PROPERTIES LIMITED,Temporary Accommodation,"£22,776.68"
1900798002,TRANSITIONAL CARE LTD,Children and Education,"£22,274.37"
8001726852,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£21,921.43"
8001702281,LOOK AHEAD CARE AND SUPPORT LTD,Social Care,"£21,689.76"
5201131747,RINGWAY JACOBS LIMITED,Public Realm,"£21,619.84"
8001704461,JEWISH CARE,Temporary Accommodation,"£21,376.84"
8001704457,JEWISH CARE,Temporary Accommodation,"£20,773.11"
5201131062,INNOVISION HEALTH & WELLBEING CIC,Social Care,"£20,716.54"
1900797124,NAS SERVICES LTD,Children and Education,"£20,469.36"
1900797674,TELESET,General,"£20,000.00"
1900797689,CITIBANK NA LONDON,Finance,"£20,000.00"
1900797884,EVERSHEDS LLP,People and Recruitment,"£20,000.00"
5201130285,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£20,000.00"
5201131729,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£19,898.03"
8001704463,HAIL LTD,Social Care,"£19,746.40"
8001726846,YOUNG OPTIONS COLLEGE LTD,Temporary Accommodation,"£19,707.14"
1900798521,LGIU,Learning and Development,"£19,600.00"
5201132264,RINGWAY JACOBS LIMITED,Public Realm,"£19,194.00"
5201132265,RINGWAY JACOBS LIMITED,Public Realm,"£19,194.00"
5201132266,RINGWAY JACOBS LIMITED,Public Realm,"£19,194.00"
1900797458,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£18,995.57"
8001710011,SANDHURST LODGE LTD,Temporary Accommodation,"£18,942.86"
5201132332,CENTRE FOR ECONOMIC & SOCIAL INCLUS,General,"£18,340.00"
5201131049,JOSEPH ROCHFORD GARDENS LTD,Public Realm,"£18,125.00"
1900797903,NLI SCHOOL LTD,Children and Education,"£18,000.00"
5201131848,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£18,000.00"
1900796962,ACORN CARE & EDUCATION LTD (SALES),Children and Education,"£17,830.00"
1900797485,STACE LLP,"Construction, Property and Fac Man","£17,510.34"
1900797486,SOUTHERN LANDSCAPE AND CONSTRUCTION,"Construction, Property and Fac Man","£17,508.66"
8001704459,MELROSE HOUSE,Temporary Accommodation,"£17,428.57"
8001704460,MELROSE HOUSE,Temporary Accommodation,"£17,428.57"
1900796963,ACORN CARE & EDUCATION LTD (SALES),Children and Education,"£17,399.28"
1900798149,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£17,292.81"
5201131846,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£17,278.67"
8001726856,TUMBLEWOOD PROJECT LIMITED,Temporary Accommodation,"£17,271.43"
5201130921,STAR CARS LTD,Travel,"£17,083.25"
5201130924,STAR CARS LTD,Travel,"£16,999.82"
5201131744,RINGWAY JACOBS LIMITED,Public Realm,"£16,946.47"
5201130798,STAR CARS LTD,Travel,"£16,931.16"
8001710921,YOUTH JUSTICE BOARD FOR ENGLAND & W,Children and Education,"£16,791.00"
1900797897,THE HOLMEWOOD SCHOOL,Children and Education,"£16,750.00"
1900797898,THE HOLMEWOOD SCHOOL,Children and Education,"£16,750.00"
1900798011,NLI SCHOOL LTD,Children and Education,"£16,750.00"
1900798013,NLI SCHOOL LTD,Children and Education,"£16,750.00"
5201130475,SUSTRANS LTD,Communication,"£16,750.00"
1900797372,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£16,617.00"
1900797464,FOOT ANSTEY LLP,General,"£16,465.00"
5201131230,"EAST ARCHIT, LANDSCAPE, URBAN DSGN",People and Recruitment,"£16,320.00"
1900798273,GATENBYSANDERSON LTD,People and Recruitment,"£16,245.00"
8001710901,YOUTH JUSTICE BOARD FOR ENGLAND & W,Children and Education,"£16,212.00"
8001726850,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£15,942.86"
8001726843,BENJAMIN UK LTD,Temporary Accommodation,"£15,854.29"
1900797166,KEEPMOAT REGENRATION (APOLLO) LTD,"Construction, Property and Fac Man","£15,737.98"
5201130799,STAR CARS LTD,Travel,"£15,597.75"
1900797900,NLI SCHOOL LTD,Children and Education,"£15,330.00"
5201131873,DELL CORPORATION LTD,IT and Telecoms,"£15,326.00"
8001726842,4D CARE LTD,Temporary Accommodation,"£15,278.57"
8001726854,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£15,267.50"
1900798275,IRG ADVISORS LLP,People and Recruitment,"£15,225.00"
1900797534,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£15,149.00"
8001726858,CHARTWELL CARE PLC,Temporary Accommodation,"£15,057.14"
1900797931,THE UCL ACADEMY,Children and Education,"£14,914.25"
1900798143,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£14,826.00"
1900797772,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,654.55"
5201130803,NDL-METASCYBE LIMITED,IT and Telecoms,"£14,250.00"
8001726844,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£14,171.43"
8001726847,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£14,171.43"
1900796977,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,129.85"
1900798486,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£14,120.00"
1900797967,WING PARKING LTD,Public Realm,"£13,903.86"
1900798493,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,823.55"
1900797773,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,774.00"
1900798491,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,773.64"
5201131733,RINGWAY JACOBS LIMITED,Public Realm,"£13,725.61"
1900796975,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,718.84"
1900797769,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,711.05"
5201131857,IRG ADVISORS LLP,People and Recruitment,"£13,650.00"
1900797904,MOOR HOUSE SCHOOL,Children and Education,"£13,530.07"
1900796976,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,511.65"
8001710361,YOUTH JUSTICE BOARD FOR ENGLAND & W,Children and Education,"£13,501.00"
1900798009,PENNA PLC,Children and Education,"£13,500.00"
1900798228,GREEN PARK INTERIM & EXECUTIVE LTD,People and Recruitment,"£13,500.00"
1900796978,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,359.63"
5201130806,LYNCADE LTD t/a CAVENDISH CARS,Travel,"£13,333.00"
5201131224,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£13,325.72"
8001726853,ARNFIELD CARE LTD,Temporary Accommodation,"£13,263.57"
1900798494,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,254.25"
1900798783,HOMES FOR HARINGEY LIMITED,People and Recruitment,"£13,231.94"
1900797771,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,222.20"
5201132367,RINGWAY JACOBS LIMITED,Public Realm,"£13,145.63"
1900798492,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,079.36"
5201131380,UNITED GUARDING SERVICES LTD,General,"£13,030.16"
1900797902,NLI SCHOOL LTD,Children and Education,"£13,030.00"
8001703941,YOUTH JUSTICE BOARD FOR ENGLAND & W,Children and Education,"£12,914.00"
1900797154,BRAKE BROS FOODSERVICE LTD,Food and Drink,"£12,841.49"
8001718135,CHOICE SUPPORT,Temporary Accommodation,"£12,818.90"
1900797899,NLI SCHOOL LTD,Children and Education,"£12,815.00"
8001705221,ONE HOUSING GROUP LTD,Social Care,"£12,731.84"
5201130805,PARAGON GROUP UK LIMITED,Communication,"£12,725.04"
1900796957,NAS SERVICES LTD,Children and Education,"£12,676.89"
1900796956,NAS SERVICES LTD,Children and Education,"£12,676.88"
5201131870,GATENBYSANDERSON LTD,Communication,"£12,600.00"
1900798277,IRG ADVISORS LLP,People and Recruitment,"£12,562.50"
1900797078,NAS SERVICES LTD,Children and Education,"£12,543.72"
1900797079,NAS SERVICES LTD,Children and Education,"£12,543.72"
1900797077,NAS SERVICES LTD,Children and Education,"£12,542.94"
1900797930,THE WHITTINGTON HOSPITAL NHS TRUST,Children and Education,"£12,500.00"
5201130330,DTZ DTL LTD,People and Recruitment,"£12,500.00"
1900797724,VIRGIN MEDIA PAYMENTS LIMITED,IT and Telecoms,"£12,455.75"
8001726857,FIVE RIVERS CHILD CARE LTD,Temporary Accommodation,"£12,400.00"
1900798091,PARK VIEW,Public Health,"£12,000.00"
5201130335,ACTIVIST GROUP LTD,People and Recruitment,"£11,964.55"
1900797171,COMPASS SECURITY SYSTEMS LTD,"Construction, Property and Fac Man","£11,902.05"
1900798229,KENT COUNTY COUNCIL,Children and Education,"£11,841.41"
1900796965,MARY HARE SCHOOLS,Children and Education,"£11,771.00"
8001717196,EASTCROFT NURSING HOME,Temporary Accommodation,"£11,752.00"
5201132689,RINGWAY JACOBS LIMITED,Public Realm,"£11,701.00"
1900798274,IRG ADVISORS LLP,People and Recruitment,"£11,700.00"
5201131771,HOME OFFICE,People and Recruitment,"£11,688.04"
1900797533,BT PAYMENT SERVICES LTD,IT and Telecoms,"£11,629.05"
8001718132,PROGRESS HOMES T/A BLAKE,Temporary Accommodation,"£11,592.27"
8001726841,HOLIBROOK HOUSE,Temporary Accommodation,"£11,514.29"
1900798561,KISHARON,Children and Education,"£11,400.00"
1900797756,OMEGA LETTINGS LTD,Temporary Accommodation,"£11,365.80"
8001718166,WIDER OPTIONS (3) LTD,Children and Education,"£11,358.71"
5201132366,RINGWAY JACOBS LIMITED,Public Realm,"£11,354.37"
8001721744,BROOKDALE HEALTHCARE,Temporary Accommodation,"£11,242.59"
1900798569,KISHARON,Children and Education,"£11,210.33"
8001718086,THE DISABILITIES TRUST,Temporary Accommodation,"£11,153.09"
1900798276,IRG ADVISORS LLP,People and Recruitment,"£11,124.80"
5201132197,THE COUNCIL OF ASIAN PEOPLE,Children and Education,"£10,980.00"
5201130228, ITM COMMUNICATIONS LTD,IT and Telecoms,"£10,945.00"
8001719400,SENSE,Social Care,"£10,933.79"
5201131715,HARINGEY ADVISORY GRP ON ALCOHOL,Social Care,"£10,833.29"
1900797673,LYRECO UK LTD,General,"£10,730.53"
8001696159,SENSE,Social Care,"£10,581.09"
5201131849,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£10,556.67"
5201131851,CYCLING INSTRUCTOR LTD,Learning and Development,"£10,552.00"
5201132086,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£10,546.86"
1900798241,PLEXUS LAW CLIENT ACCOUNT,Finance,"£10,500.00"
5201130463,HARINGEY SPORTS DEVELOPMENT,Sport and Leisure,"£10,500.00"
5201131847,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£10,500.00"
5201132327,GROUNDWORK LONDON,Public Realm,"£10,452.00"
8001697081,AREA 51 EDUCATION LTD,Social Care,"£10,452.00"
8001726851,LONDON BOROUGH OF ISLINGTON,Temporary Accommodation,"£10,381.99"
1900797088,COFELY LTD,Energy and Utilities,"£10,365.10"
5201131221,UNITED GUARDING SERVICES LTD,General,"£10,360.80"
5201131881,UNITED GUARDING SERVICES LTD,General,"£10,360.80"
8001718102,THE DISABILITIES TRUST,Temporary Accommodation,"£10,359.80"
8001718133,THE DISABILITIES TRUST,Temporary Accommodation,"£10,359.67"
5201130815,EXPRESSWAYS LTD,Travel,"£10,344.29"
1900797173,HOUSING PARTNER LIMITED T/A HOMESWA,General,"£10,295.00"
5201131850,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£10,250.00"
8001718295,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£10,238.19"
5201130816,B & L COACHES,Travel,"£10,216.85"
8001717207,HUGH MYDDLETON HOUSE,Temporary Accommodation,"£10,203.43"
1900797780,FLYNN COMMUNICATIONS LTD,General,"£10,175.00"
5201131710,MIDLAND FORESTRY LTD,Public Realm,"£10,155.60"
8001719324,SENSE,Temporary Accommodation,"£10,150.64"
5201130331,DTZ DTL LTD,People and Recruitment,"£10,016.80"
1900797972,P SENIOR ASSOCIATES,Children and Education,"£10,000.00"
5201132006,TOM EBDON ARCHITECTS LTD,"Construction, Property and Fac Man","£10,000.00"
5201132257,CITY UNIVERSITY,Public Health,"£10,000.00"
8001701841,CONSENSA CARE LTD,Temporary Accommodation,"£9,996.35"
5201131215,WAGSTAFF BROTHERS LIMITED,General,"£9,974.44"
8001726860,ADEZA CARE HOMES LTD,Temporary Accommodation,"£9,964.29"
8001726861,ADEZA CARE HOMES LTD,Temporary Accommodation,"£9,964.29"
1900798556,KISHARON,Children and Education,"£9,953.33"
5201131586,DELOITTE LLP NO 3 RECEIPTS ACCOUNT,People and Recruitment,"£9,890.00"
8001718096,CARETECH COMMUNITY SERVICES LTD,Temporary Accommodation,"£9,876.38"
8001696082,SENSE,Temporary Accommodation,"£9,823.20"
1900797818,WALTHAM FOREST COLLEGE,Children and Education,"£9,800.00"
8001707241,SEVACARE (UK) LTD,Social Care,"£9,793.86"
1900798279,PENNA PLC,People and Recruitment,"£9,762.50"
8001718225,CMG LTD,Temporary Accommodation,"£9,722.70"
1900798563,KISHARON,Children and Education,"£9,688.00"
1900798573,KISHARON,Children and Education,"£9,688.00"
5201130145,"EAST ARCHIT, LANDSCAPE, URBAN DSGN",People and Recruitment,"£9,680.00"
5201130316,IRG ADVISORS LLP,People and Recruitment,"£9,680.00"
5201131574,MOTT MACDONALD LIMITED,"Construction, Property and Fac Man","£9,646.50"
1900797577,WISE C SOLUTIONS LTD,People and Recruitment,"£9,500.00"
1900798260,LONDON GRID FOR LEARNING TRUST,IT and Telecoms,"£9,492.27"
5201130358,GATENBYSANDERSON LTD,People and Recruitment,"£9,430.00"
1900798302,FAIRLEY HOUSE SCHOOL,Children and Education,"£9,303.85"
1900798303,FAIRLEY HOUSE SCHOOL,Children and Education,"£9,303.85"
1900798304,FAIRLEY HOUSE SCHOOL,Children and Education,"£9,303.85"
1900798305,FAIRLEY HOUSE SCHOOL,Children and Education,"£9,303.85"
8001721760,HOFFMANN FOUNDATION FOR AUTISM,Social Care,"£9,199.60"
1900798567,KISHARON,Children and Education,"£9,000.00"
5201130469,RUSKINS TREE SURGERY LTD,Public Realm,"£9,000.00"
8001718226,CMG LTD,Temporary Accommodation,"£8,960.73"
5201131222,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£8,959.84"
5201132020,FROST ASSOCIATES (A PARTNERSHIP),People and Recruitment,"£8,958.62"
5201131997,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£8,937.13"
1900797416,CSG (USHERS) LIMITED,Social Care,"£8,935.00"
5201130280,NORTHGATE INFORMATION SOLUTIONS UK,IT and Telecoms,"£8,928.51"
8001719318,SENSE,Social Care,"£8,869.81"
8001718221,PRECIOUS HOMES LTD,Temporary Accommodation,"£8,861.57"
8001726859,ADEZA CARE HOMES LTD,Temporary Accommodation,"£8,857.14"
5201131572,CAPITA SYMONDS LIMITED,"Construction, Property and Fac Man","£8,850.00"
1900798487,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£8,810.00"
8001718357,DRS CARE HOMES LTD,Temporary Accommodation,"£8,800.00"
1900798280,PENNA PLC,People and Recruitment,"£8,769.60"
5201131261,REDACTED PERSONAL DATA,People and Recruitment,"£8,750.00"
5201131212,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£8,689.61"
1900797906,THE MOAT SCHOOL,Children and Education,"£8,615.00"
8001696076,SENSE,Social Care,"£8,583.69"
8001725199,SEVACARE (UK) LTD,Social Care,"£8,571.53"
8001718156,CMG LTD,Temporary Accommodation,"£8,540.28"
5201131571,CAPITA SYMONDS LIMITED,"Construction, Property and Fac Man","£8,525.00"
8001721809,HF TRUST LTD,Social Care,"£8,523.09"
8001726849,ANNA HOUSE LTD,Temporary Accommodation,"£8,487.50"
8001707061,EDENVALE CARE LIMITED,Temporary Accommodation,"£8,473.84"
8001719287,NORWOOD SCHOOLS LTD,Temporary Accommodation,"£8,431.29"
8001719325,RESIDENTIAL CARE PROVIDERS LTD,Temporary Accommodation,"£8,403.70"
8001721817,INDEPENDENCE HOMES LTD,Temporary Accommodation,"£8,345.51"
1900797633,WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£8,333.00"
5201131625,TOTTENHAM HOTSPUR FOUNDATION,Sport and Leisure,"£8,328.00"
8001718120,DRS CARE HOMES LTD,Temporary Accommodation,"£8,293.47"
5201132311,DIRECT SURVEILLANCE SOLUTIONS LTD,"Construction, Property and Fac Man","£8,258.24"
5201131217,UNITED GUARDING SERVICES LTD,General,"£8,200.80"
1900798549,KISHARON,Children and Education,"£8,166.66"
8001696045,NORWOOD SCHOOLS LTD,Temporary Accommodation,"£8,159.31"
8001696083,RESIDENTIAL CARE PROVIDERS LTD,Temporary Accommodation,"£8,132.61"
8001710010,SANDHURST LODGE LTD,Temporary Accommodation,"£8,122.86"
5201131573,CAPITA SYMONDS LIMITED,"Construction, Property and Fac Man","£8,122.00"
8001710721,YOUTH JUSTICE BOARD FOR ENGLAND & W,Children and Education,"£8,120.00"
8001718110,ROYAL MENCAP SOCIETY,Social Care,"£8,110.71"
1900797180,REDACTED PERSONAL DATA,"Construction, Property and Fac Man","£8,100.00"
8001719323,SENSE,Temporary Accommodation,"£8,024.00"
5201131334,BOLDENS SIGNAGE SOLUTIONS,Communication,"£8,010.00"
1900796959,FRIENDS OF BOBOVER  FOUNDATION,Children and Education,"£8,000.00"
1900797400,S. ROBBINS BUILDING CONTRACTORS,"Construction, Property and Fac Man","£8,000.00"
1900798044,QUALITY SOLICITORS GORDON LUTTON,Finance,"£8,000.00"
1900798555,KISHARON,Children and Education,"£7,990.99"
1900798574,KISHARON,Children and Education,"£7,990.99"
1900798577,KISHARON,Children and Education,"£7,990.99"
8001718164,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£7,971.43"
8001718248,DRS CARE HOMES LTD,Temporary Accommodation,"£7,971.43"
8001718293,DRS CARE HOMES LTD,Temporary Accommodation,"£7,971.43"
8001726848,YOUNG GENERATION,Temporary Accommodation,"£7,971.43"
8001726855,YOUNG GENERATION,Temporary Accommodation,"£7,971.43"
5201132105,RINGWAY JACOBS LIMITED,Public Realm,"£7,969.08"
1900798067,GANDLAKE LIMITED,IT and Telecoms,"£7,915.92"
1900796979,VAROSI ESTATES LIMITED,Temporary Accommodation,"£7,913.80"
5201129957,TCR TRAINING LTD,Learning and Development,"£7,881.00"
8001721787,SAIVAN CARE SERVICES LTD,Temporary Accommodation,"£7,878.38"
8001718082,PRECIOUS HOMES LTD,Temporary Accommodation,"£7,809.21"
5201129956,TCR TRAINING LTD,Learning and Development,"£7,801.00"
5201130974,HB SUBSIDY SERVICES LIMITED,General,"£7,796.25"
8001696081,SENSE,Temporary Accommodation,"£7,765.16"
8001719327,PRECIOUS HOMES LTD,Temporary Accommodation,"£7,715.28"
5201131869,GATENBYSANDERSON LTD,Communication,"£7,650.00"
8001719460,PATHWAY HEALTHCARE LTD,Temporary Accommodation,"£7,622.46"
8001721851,HILLGREEN CARE LIMITED,Temporary Accommodation,"£7,601.33"
8001718186,GREENVIEW HEALTHCARE LTD,Temporary Accommodation,"£7,538.54"
8001710961,YOUTH JUSTICE BOARD FOR ENGLAND & W,Temporary Accommodation,"£7,527.00"
8001721848,GREEN LANES PROJECTS LTD,Temporary Accommodation,"£7,513.96"
5201130352,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£7,508.46"
1900797578,SRH SOLUTIONS LTD,People and Recruitment,"£7,500.00"
8001713001,ANNA HOUSE LTD,Temporary Accommodation,"£7,469.00"
8001696085,PRECIOUS HOMES LTD,Temporary Accommodation,"£7,466.40"
